Class	Order	Family	Genus/Species	Common Name	 	
Bivalvia	Mytiloida	Mytilidae	Crenella gemma		 	
Bivalvia	Mytiloida	Mytilidae	Dacrydium sp.		 	
Bivalvia	Mytiloida	Mytilidae	Gregariella opifex		 	
Bivalvia	Mytiloida	Mytilidae	Lithophaga sp.		 	
Bivalvia	Mytiloida	Mytilidae	Modiolus americanus	American horsemussel	 	
Bivalvia	Mytiloida	Mytilidae	Musculus lateralis	Lateral mussel	 	
Bivalvia	Nuculoida	Nuculanidae	Nuculana acuta		 	
Bivalvia	Nuculoida	Nuculanidae	Yoldia perprotracta		 	
Bivalvia	Nuculoida	Nuculidae	Nucula crenulata	Crenulate nutclam	 	
Bivalvia	Nuculoida	Nuculidae	Proxima sp.		 	
Bivalvia	Ostreioda	Ostreidae	Dendostrea frons	Frond oyster	 	
Bivalvia	Ostreioda	Ostreidae	Ostrea rhizophorae		 	
Bivalvia	Ostreioda	Pectinidae	Caribachlamys imbricata	Knobby scallop		
Bivalvia	Ostreioda	Pectinidae	Caribachlamys ornata	Ornate scallop	 	
Bivalvia	Ostreioda	Pectinidae	Caribachlamys sentis	Scaly scallop		
Bivalvia	Ostreioda	Pectinidae	Cf. fasciculatum cf. fas			
Bivalvia	Ostreioda	Pectinidae	Euvola chazaliei	Dwarf zigzag scallop		
Bivalvia	Ostreioda	Pectinidae	Euvola laurenti			
Bivalvia	Ostreioda	Pectinidae	Euvola ziczac	Zigzag scallop	 	
Bivalvia	Ostreioda	Pectinidae	Leptopecten bavayi			
Bivalvia	Ostreioda	Pectinidae	Lindapecten acanthodes			
Bivalvia	Ostreioda	Pectinidae	Nodipecten fragosus		 	
Bivalvia	Ostreioda	Pectinidae	Nodipecten nodosus	Lion's paw scallop		
Bivalvia	Ostreioda	Pectinidae	Pacipecten linki			
Bivalvia	Ostreioda	Pectinidae	Pectinid â€œaâ€ lineolaris			
Bivalvia	Ostreioda	Pectinidae	Pseudamussium cf. fasciculatum			
Bivalvia	Ostreioda	Pectinidae	Spathochlamys benedicti	Yellow-spot scallop		
Bivalvia	Ostreioda	Pectinidae	Spathochlamys cf. vestalis			
Bivalvia	Ostreoida	Gryphaeidae	Hyotissa sp. 1		 	
Bivalvia	Ostreoida	Pectinidae	Aequipecten muscosus	Rough scallop	 	
Bivalvia	Ostreoida	Pectinidae	Argopecten gibbus	Calico scallop		
Bivalvia	Ostreoida	Pectinidae	Bractechlamys antillarum	Antillean scallop		
Bivalvia	Ostreoida	Pectinidae	Chlamys mildredae	Mildred scallop	 	
Bivalvia	Ostreoida	Pectinidae	Chlamys sentis	Scaly scallop	 	
Bivalvia	Ostreoida	Pectinidae	Chlamys sp.	Â Â 	 	
Bivalvia	Ostreoida	Pectinidae	Laevichlamys multisquameta			
Bivalvia	Ostreoida	Plicatulidae	Plicatula gibbosa	Kitten's paw	 	
Bivalvia	Ostreoida	Plicatulidae	Plicatula penicillata		 	
Bivalvia	Ostreoida	Spondylidae	Spondylus americanus	Atlantic thorny oyster	 	
Bivalvia	Pholadomyoida	Pandoridae	Pandora sp.		 	
Bivalvia	Pholadomyoida	Periplomatidae	Periploma inaequivalvis		 	
Bivalvia	Pholadomyoida	Thraciidae	Thracia distorta	Distorted thracia	 	
Bivalvia	Pholadomyoida	Thraciidae	Thracia sp.		 	
Bivalvia	Pholadomyoida	Verticordiidae	Verticordia ornata	Ornate verticord	 	
Bivalvia	Pterioida	Isognomidae	Isognomon alatus	Flat tree oyster	 	
Bivalvia	Pterioida	Isognomidae	Isognomon radiatus	Lister's tree oyster	 	
Bivalvia	Pterioida	Isognomonidae	Isognomon bicolor	Bicolor purse-oyster	 	
Bivalvia	Pterioida	Isognomonidae	Isognomon sp.		 	
Bivalvia	Pterioida	Malleidae	Malleus candeanus	Caribbean hammer-oyster	 	
Bivalvia	Pterioida	Pinnidae	Atrina rigida	Stiff pen shell	 	
Bivalvia	Pterioida	Pinnidae	Pinna carnea	Amber pen shell	 	
Bivalvia	Pterioida	Pteriidae	Pinctada imbricata	Atlantic pearl oyster	 	
Bivalvia	Pterioida	Pteriidae	Pinctata radiata	Pearl oyster	 	
Bivalvia	Pterioida	Pteriidae	Pteria colymbus	Atlantic winged oyster	 	
Bivalvia	Pteriomorpha	Anomiidae	Anomia simplex	Jingle shell	 	
Bivalvia	Septibranchida	Cuspidariidae	Cuspisdaria sp.		 	
Bivalvia	Veneroida	Cardiidae	Americardia media	Atlantic strawberry-cockle	 	
Bivalvia	Veneroida	Cardiidae	Laevicardium laevigatum	Egg cockle	 	
Bivalvia	Veneroida	Cardiidae	Laevicardium mortoni	Yellow eggcockle	 	
Bivalvia	Veneroida	Cardiidae	Laevicardium sp.	Â Â 	 	
Bivalvia	Veneroida	Cardiidae	Laevicardium sp. 1		 	
Bivalvia	Veneroida	Cardiidae	Papyridea semisulcatum		 	
Bivalvia	Veneroida	Cardiidae	Papyridea soleniforme		 	
Bivalvia	Veneroida	Cardiidae	Trachycardium muricatum	Yellow cockle	 	
Bivalvia	Veneroida	Cardiidae	Trachycardium sp. 1		 	
Bivalvia	Veneroida	Cardiidae	Trigoniocardia antillarum	Antillean cockle	 	
Bivalvia	Veneroida	Cardiidae	Trigoniocardia laevicardium		 	
Bivalvia	Veneroida	Carditidae	Carditamera gracilis	West indian cardita	 	
Bivalvia	Veneroida	Carditidae	Cardites sp. 1		 	
Bivalvia	Veneroida	Carditidae	Pleuromeris micella		 	
Bivalvia	Veneroida	Chamidae	Chama congregata	Corrugate jewelbox	 	
Bivalvia	Veneroida	Chamidae	Chama florida	Pretty jewelbox	 	
Bivalvia	Veneroida	Chamidae	Chama macerophylla	Leafy jewelbox	 	
Bivalvia	Veneroida	Chamidae	Pseudochama radians	Atlantic jewelbox	 	
Bivalvia	Veneroida	Condylocardiidae	Carditopsis bernardi		 	
Bivalvia	Veneroida	Condylocardiidae	Carditopsis smithi	Tiny condylclam	 	
Bivalvia	Veneroida	Crassatellidae	Crassinella guadalupensis		 	
Bivalvia	Veneroida	Crassatellidae	Crassinella lunulata	Lunate crassinella	 	
Bivalvia	Veneroida	Crassatellidae	Crassinella martinicensis	Martinique crassinella	 	
Bivalvia	Veneroida	Crassatellidae	Crassinella sp.		 	
Bivalvia	Veneroida	Diplodontidae	Diplodonta punctata	Atlantic diplodon	 	
Bivalvia	Veneroida	Diplodontidae	Diplodonta semiaspera	Pimpled diplodon	 	
Bivalvia	Veneroida	Diplodontidae	Diplodonta soror	Sister diplodon	 	
Bivalvia	Veneroida	Donacidae	Donax denticulata		 	
Bivalvia	Veneroida	Donacidae	Donax sp. 1		 	
Bivalvia	Veneroida	Donacidae	Donax sp. 2		 	
Bivalvia	Veneroida	Donacidae	Donax striata		 	
Bivalvia	Veneroida	Donacidae	Iphigenia brasiliensis		 	
Bivalvia	Veneroida	Dreissenidae	Mytilopsis leucopheata	False dark mussel	 	
Bivalvia	Veneroida	Leptonidae	Lepton sp.		 	
Bivalvia	Veneroida	Leptonidae	Montacuta floridana		 	
Bivalvia	Veneroida	Lucinidae	Andontia alba		 	
Bivalvia	Veneroida	Lucinidae	Anodontia alba	Buttercup lucine	 	
Bivalvia	Veneroida	Lucinidae	Codakia costata	Costate lucine	 	
Bivalvia	Veneroida	Lucinidae	Codakia orbicularis	Tiger lucine	 	
Bivalvia	Veneroida	Lucinidae	Codakia orbiculata	Dwarf tiger lucine	 	
Bivalvia	Veneroida	Lucinidae	Codakia pectinella	Little-comb lucine	 	
Bivalvia	Veneroida	Lucinidae	Divaricella dentata	Dentate lucine	 	
Bivalvia	Veneroida	Lucinidae	Divaricella quadrisulcata	Cross-hatched lucine	 	
Bivalvia	Veneroida	Lucinidae	Divaricella weberi		 	
Bivalvia	Veneroida	Lucinidae	Lucina leucocyma	Four-rib lucine	 	
Bivalvia	Veneroida	Lucinidae	Lucina multilineata	Many-lined lucina	 	
Bivalvia	Veneroida	Lucinidae	Lucina pensylvanica	Pennsylvania lucine	 	
Bivalvia	Veneroida	Lucinidae	Lucina sp.		 	
Bivalvia	Veneroida	Lucinidae	Lucina sp. 1		 	
Bivalvia	Veneroida	Lucinidae	Lucina trisulcata	Three-ridge lucine	 	
Bivalvia	Veneroida	Lucinidae	Parvilucina costata	Costate lucine	 	
Bivalvia	Veneroida	Lucinidae	Phacoides muricatus		 	
Bivalvia	Veneroida	Lucinidae	Phacoides pectinatus	Thick lucine	 	
Bivalvia	Veneroida	Lucinidae	Phacoides radians		 	
Bivalvia	Veneroida	Mactridae	Labiosa lineata	Â Â 	 	
Bivalvia	Veneroida	Mactridae	Mactra alata	Panamic winged mactra	 	
Bivalvia	Veneroida	Mactridae	Mactrotoma fragilis	Fragile surfclam	 	
Bivalvia	Veneroida	Marginellidae	Hyalina sp.		 	
Bivalvia	Veneroida	Mesodesmatidae	Ervilia concentrica	Concentric ervilia	 	
Bivalvia	Veneroida	Mesodesmatidae	Ervilia rostratula		 	
Bivalvia	Veneroida	Petricolidae	Choristodon robustum	Atlantic petricolid	 	
Bivalvia	Veneroida	Petricolidae	Petricola lapicida	Boring Petricola	 	
Bivalvia	Veneroida	Psammobiidae	Asaphis deflorata	Gaudy Sanguin	 	
Bivalvia	Veneroida	Sanguinolariidae	Sanguinolaria cruenta	Operculate Sanguin	 	
Bivalvia	Veneroida	Semelidae	Cumingia coarctata	Contracted semele	 	
Bivalvia	Veneroida	Semelidae	Semele proficua	Atlantic semele	 	
Bivalvia	Veneroida	Semelidae	Semele sp.	Â Â 	 	
Bivalvia	Veneroida	Semelidae	Semelina nuculoides	Nut semele	 	
Bivalvia	Veneroida	Solecurtidae	Tagelus divisus	Purplish tagelus	 	
Bivalvia	Veneroida	Solecurtidae	Tagelus plebeius	Stout tagelus	 	
Bivalvia	Veneroida	Tellinidae	Eurytellina sp. 1		 	
Bivalvia	Veneroida	Tellinidae	Macoma brevifrons	Short macoma	 	
Bivalvia	Veneroida	Tellinidae	Strigilla carnaria	Large strigilla	 	
Bivalvia	Veneroida	Tellinidae	Strigilla gabbi	Rayed strigilla	 	
Bivalvia	Veneroida	Tellinidae	Strigilla pilsbryi		 	
Bivalvia	Veneroida	Tellinidae	Strigilla pisiformis	Pea strigilla	 	
Bivalvia	Veneroida	Tellinidae	Strigilla sp.		 	
Bivalvia	Veneroida	Tellinidae	Tellina alternata	Alternate tellin	 	
Bivalvia	Veneroida	Tellinidae	Tellina angulosa	Angulate tellin	 	
Bivalvia	Veneroida	Tellinidae	Tellina fausta	Favored tellin	 	
Bivalvia	Veneroida	Tellinidae	Tellina laevigata	Smooth tellin	 	
Bivalvia	Veneroida	Tellinidae	Tellina lineata	Rose-petal tellin	 	
Bivalvia	Veneroida	Tellinidae	Tellina listeri	Speckled tellin	 	
Bivalvia	Veneroida	Tellinidae	Tellina promera	Mora tellin	 	
Bivalvia	Veneroida	Tellinidae	Tellina radiata	Sunrise tellin	 	
Bivalvia	Veneroida	Tellinidae	Tellina sp.		 	
Bivalvia	Veneroida	Tellinidae	Tellina tampaensis	Tampa tellin	 	
Bivalvia	Veneroida	Tellinidae	Tellina versicolor	Many-colored tellin	 	
Bivalvia	Veneroida	Trapeziidae	Coraliophaga coralliophaga		 	
Bivalvia	Veneroida	Veneridae	Anomalocardia brasiliana	Carib pointed-venus	 	
Bivalvia	Veneroida	Veneridae	Chione cancellata	Cross-Barred Venus	 	
Bivalvia	Veneroida	Veneridae	Chione granulata		 	
Bivalvia	Veneroida	Veneridae	Chione paphia	King venus	 	
Bivalvia	Veneroida	Veneridae	Chione sp.	Â Â 	 	
Bivalvia	Veneroida	Veneridae	Chione sp. 1		 	
Bivalvia	Veneroida	Veneridae	Dosinia sp. 1		 	
Bivalvia	Veneroida	Veneridae	Globivenus rigida	Rigid venus	 	
Bivalvia	Veneroida	Veneridae	Gouldia cerina	Waxy gouldclam	 	
Bivalvia	Veneroida	Veneridae	Lirophora sp. 1		 	
Bivalvia	Veneroida	Veneridae	Macrocallista maculata	Calico clam	 	
Bivalvia	Veneroida	Veneridae	Macrocallista sp. 1		 	
Bivalvia	Veneroida	Veneridae	Periglypta listeri	Princess venus	 	
Bivalvia	Veneroida	Veneridae	Periglypta sp.	Â Â 	 	
Bivalvia	Veneroida	Veneridae	Pitar circinata		 	
Bivalvia	Veneroida	Veneridae	Pitar dione	Elegant venus	 	
Bivalvia	Veneroida	Veneridae	Pitar fulminatus	Lightning pitar	 	
Bivalvia	Veneroida	Veneridae	Pitar subaresta		 	
Bivalvia	Veneroida	Veneridae	Tivela mactroides	Triangular tivela	 	
Bivalvia	Veneroida	Veneridae	Transennella cubaniana	Cuba transennella	 	
Cephalopoda	Sepioidea	Spirulidae	Spirula spirula	Ram's horn shell	 	
Cephalopoda	Teuthoidea	Lologinidae	Sepioteuthis sepioidea	Caribbean Reef Squid		
Gastropoda	Acochlidiacea	Asperspinidae	Asperpina sp.		 	
Gastropoda	Acochlidioidea	Ganitidae	Ganitus sp.		 	
Gastropoda	Acochlidioidea	Microhedylidae	Pontohedyle sp.		 	
Gastropoda	Anaspidea	Aplysiidae	Bursatella leachii			
Gastropoda	Archaeogastropoda	Skeneidae	Parviturbo rehderi		 	
Gastropoda	Basommatophora	Siphonariidae	Williamia krebsii	Kreb's false limpet	 	
Gastropoda	Caenogastropoda	Aclididae	Aclis sp.		 	
Gastropoda	Caenogastropoda	Aclididae	Schwengelia sp.		 	
Gastropoda	Caenogastropoda	Amathinidae	Iselica anomala		 	
Gastropoda	Caenogastropoda	Barleeiidae	Barleeia creutzbergi		 	
Gastropoda	Caenogastropoda	Barleeiidae	Caelatura gerhardtae	Gerhardtâ€™s Barleysnail	 	
Gastropoda	Caenogastropoda	Barleeiidae	Lirobarleeia chiriquiensis		 	
Gastropoda	Caenogastropoda	Buccinidae	Bailya intricata		 	
Gastropoda	Caenogastropoda	Buccinidae	Bailya parva		 	
Gastropoda	Caenogastropoda	Buccinidae	Engina turbinella	White-spotted engina	 	
Gastropoda	Caenogastropoda	Buccinidae	Pisania pusio	Miniature trumpet triton	 	
Gastropoda	Caenogastropoda	Bursidae	Bursa granularis cubaniana	Cuban frog-shell	 	
Gastropoda	Caenogastropoda	Caecidae	Caecum clenchi		 	
Gastropoda	Caenogastropoda	Caecidae	Caecum floridanum	Florida caecum	 	
Gastropoda	Caenogastropoda	Caecidae	Caecum imbricatum	Imbricate caecum	 	
Gastropoda	Caenogastropoda	Caecidae	Caecum nebulosum		 	
Gastropoda	Caenogastropoda	Caecidae	Caecum pulchellum		 	
Gastropoda	Caenogastropoda	Caecidae	Caecum sp. 1		 	
Gastropoda	Caenogastropoda	Caecidae	Meioceras cornucopiae		 	
Gastropoda	Caenogastropoda	Caecidae	Meioceras nitidum	Little horn caecum	 	
Gastropoda	Caenogastropoda	Calyptraeidae	Calyptraea centralis	Circular Chinese Hat	 	
Gastropoda	Caenogastropoda	Calyptraeidae	Cheilea equestris	Fine ribbed false cup-and-saucer	 	
Gastropoda	Caenogastropoda	Cassidae	Cassis tuberosa	King helmet	 	
Gastropoda	Caenogastropoda	Cassidae	Cypraecassis testiculus	Reticulated cowrie-helmet	 	
Gastropoda	Caenogastropoda	Cassidae	Phalium granulatum	Scotch bonnet	 	
Gastropoda	Caenogastropoda	Cerithiidae	Bittiolum varium	Variable bittium	 	
Gastropoda	Caenogastropoda	Cerithiidae	Bittium cerithidiodes		 	
Gastropoda	Caenogastropoda	Cerithiopsdae	Cerithiopsis albovittata		 	
Gastropoda	Caenogastropoda	Cerithiopsdae	Cerithiopsis vicola	Vicola cerithiopsis	 	
Gastropoda	Caenogastropoda	Cerithiopsidae	Cerithiopsis sp. 1		 	
Gastropoda	Caenogastropoda	Cerithiopsidae	Cerithiopsis sp. 2		 	
Gastropoda	Caenogastropoda	Cerithiopsidae	Retilaskeya bicolor		 	
Gastropoda	Caenogastropoda	Cerithiopsidae	Seila adamsi		 	
Gastropoda	Caenogastropoda	Cerithiopsinae	Cerithiopsis greenii	Green's cerithiopsis	 	
Gastropoda	Caenogastropoda	Columbellidae	Astyris lunata	Lunar dovesnail	 	
Gastropoda	Caenogastropoda	Columbellidae	Columbella mercatoria	Common Dove-shell	 	
Gastropoda	Caenogastropoda	Columbellidae	Columbellopsis nycteis		 	
Gastropoda	Caenogastropoda	Columbellidae	Conella ovulata	Ovate Dove Shell	 	
Gastropoda	Caenogastropoda	Columbellidae	Conella ovulata	Ovate dove-shell	 	
Gastropoda	Caenogastropoda	Columbellidae	Costoanachis catenata		 	
Gastropoda	Caenogastropoda	Columbellidae	Decipifus sixaolus	Little beaded dove-shell	 	
Gastropoda	Caenogastropoda	Columbellidae	Mazatlania cosentini		 	
Gastropoda	Caenogastropoda	Columbellidae	Mitrella dichroa	Argus Dovesnail	 	
Gastropoda	Caenogastropoda	Columbellidae	Mitrella ocellata	White-spotted Dove Shell	 	
Gastropoda	Caenogastropoda	Columbellidae	Nassarina glypta		 	
Gastropoda	Caenogastropoda	Columbellidae	Nitidella nitida	Glossy dove-shell	 	
Gastropoda	Caenogastropoda	Columbellidae	Panamic sp.	Varia Dove-shell	 	
Gastropoda	Caenogastropoda	Columbellidae	Parvanachis obesa		 	
Gastropoda	Caenogastropoda	Columbellidae	Rhombinella laevigata	Smooth Dove-shell	 	
Gastropoda	Caenogastropoda	Columbellidae	Steironepion maculatum		 	
Gastropoda	Caenogastropoda	Columbellidae	Steironepion moniliferum	Many-spotted dovesnail	 	
Gastropoda	Caenogastropoda	Columbellidae	Suturoglypta albella		 	
Gastropoda	Caenogastropoda	Conidae	Conus cf. glenni		 	
Gastropoda	Caenogastropoda	Conidae	Conus jaspideus	Jasper cone	 	
Gastropoda	Caenogastropoda	Conidae	Conus mus	Mouse cone	 	
Gastropoda	Caenogastropoda	Conidae	Conus regius	Crown Cone	 	
Gastropoda	Caenogastropoda	Conidae	Conus verrucosus		 	
Gastropoda	Caenogastropoda	Conidae	Tenaturris decora		 	
Gastropoda	Caenogastropoda	Conidae	Tenaturris multilineata		 	
Gastropoda	Caenogastropoda	Coralliophilidae	Coralliophila abbreviata	Short coral-shell	 	
Gastropoda	Caenogastropoda	Coralliophilidae	Coralliophila aberrans	Aberrant/ Globular Coral Snail	 	
Gastropoda	Caenogastropoda	Coralliophilidae	Coralliophila sp.		 	
Gastropoda	Caenogastropoda	Costellariidae	Vexillum albocinctum	White-lined miter	 	
Gastropoda	Caenogastropoda	Costellariidae	Vexillum gemmatum	Gem miter	 	
Gastropoda	Caenogastropoda	Costellariidae	Vexillum puella	White-spotted miter	 	
Gastropoda	Caenogastropoda	Cypraeidae	Cypraea sp.		 	
Gastropoda	Caenogastropoda	Cypraeidae	Erosaria acicularis	Atlantic yellow cowrie	 	
Gastropoda	Caenogastropoda	Cypraeidae	Macrocypraea zebra	Measled cowrie	 	
Gastropoda	Caenogastropoda	Cypraeidae	Talparia cinerea	Atlantic gray cowrie	 	
Gastropoda	Caenogastropoda	Cystiscidae	Persicula fluctuata	Wavy persicula	 	
Gastropoda	Caenogastropoda	Cystiscidae	Persicula weberi		 	
Gastropoda	Caenogastropoda	Cystiscidae	Plesiocysticus sp.		 	
Gastropoda	Caenogastropoda	Epitoniidae	Epitonium albidum	Bladed wentletrap	 	
Gastropoda	Caenogastropoda	Epitoniidae	Epitonium candeanum	Cande's wentletrap	 	
Gastropoda	Caenogastropoda	Epitoniidae	Epitonium echinaticosta	Widely-coiled wentletrap	 	
Gastropoda	Caenogastropoda	Epitoniidae	Epitonium foliaceicosta	Wrinkle-ribbed wentletrap	 	
Gastropoda	Caenogastropoda	Epitoniidae	Epitonium georgettinum		 	
Gastropoda	Caenogastropoda	Epitoniidae	Epitonium krebsii	Stout wentletrap, Krebs' wentletrap	 	
Gastropoda	Caenogastropoda	Epitoniidae	Epitonium occidentale	Fine-ribbed wentletrap	 	
Gastropoda	Caenogastropoda	Epitoniidae	Epitonium unifasciatum	One-banded wentletrap	 	
Gastropoda	Caenogastropoda	Epitoniidae	Gyroscala lamellosum	Lamellose wentletrap	 	
Gastropoda	Caenogastropoda	Epitoniidae	Opalia crenata	Crenulated wentletrap	 	
Gastropoda	Caenogastropoda	Epitoniidae	Opalia hotessieriana	Pitted wentletrap	 	
Gastropoda	Caenogastropoda	Epitoniidae	Opalia pumilio	Pumilio wentletrap, Dwarf wentletrap	 	
Gastropoda	Caenogastropoda	Eulimidae	Melanella arcuata		 	
Gastropoda	Caenogastropoda	Eulimidae	Melanella eulimoides	Grooved Eulima	 	
Gastropoda	Caenogastropoda	Eulimidae	Melanella intermedia		 	
Gastropoda	Caenogastropoda	Eulimidae	Melanella sp.		 	
Gastropoda	Caenogastropoda	Eulimidae	Monogamus minibulla		 	
Gastropoda	Caenogastropoda	Eulimidae	Strombiformis bilineata		 	
Gastropoda	Caenogastropoda	Eulimidae	Strombiformis sp.		 	
Gastropoda	Caenogastropoda	Eulimidae	Vitreolina arcuata	Twiseted eulima	 	
Gastropoda	Caenogastropoda	Fasciolariidae	Fasciolaria tulipa	True tulip	 	
Gastropoda	Caenogastropoda	Fasciolariidae	Hemipolygona carinifera	Twin-corded latirus; McGinty's latirus	 	
Gastropoda	Caenogastropoda	Fasciolariidae	Leucozonia nassa	Chestnut latirus	 	
Gastropoda	Caenogastropoda	Fasciolariidae	Leucozonia ocellata	White-spotted latirus	 	
Gastropoda	Caenogastropoda	Fasciolariidae	Polygona angulata	Short-tailed latirus	 	
Gastropoda	Caenogastropoda	Fasciolariidae	Teralatirus cayohuesonicus		 	
Gastropoda	Caenogastropoda	Harpidae	Morum oniscus	Atlantic morum	 	
Gastropoda	Caenogastropoda	Hipponicidae	Hipponix antiquatus	White hoof-shell	 	
Gastropoda	Caenogastropoda	Hipponicidae	Hipponix floridanus		 	
Gastropoda	Caenogastropoda	Hipponicidae	Hipponix subrufus	Orange Hoof Shell	 	
Gastropoda	Caenogastropoda	Janthinidae	Janthina janthina	Common janthina	 	
Gastropoda	Caenogastropoda	Litiopidae	Alaba incerta	Varicose cerith	 	
Gastropoda	Caenogastropoda	Littorinidae	Littoraria angulifera		 	
Gastropoda	Caenogastropoda	Littorinidae	Littoraria nebulosa		 	
Gastropoda	Caenogastropoda	Littorinidae	Littoraria tessellata		 	
Gastropoda	Caenogastropoda	Littorinidae	Littorina meleagris		 	
Gastropoda	Caenogastropoda	Littorinidae	Littorina ziczac	Zebra periwinkle	 	
Gastropoda	Caenogastropoda	Littorinidae	Nodilittorina tuberculata		 	
Gastropoda	Caenogastropoda	Littorinidae	Tectarius muricatus		 	
Gastropoda	Caenogastropoda	Marginellidae	Dentimargo cf. aureocincta		 	
Gastropoda	Caenogastropoda	Marginellidae	Gibberula bocasensis		 	
Gastropoda	Caenogastropoda	Marginellidae	Hyalina albolineata		 	
Gastropoda	Caenogastropoda	Marginellidae	Hyalina avena		 	
Gastropoda	Caenogastropoda	Marginellidae	Hyalina avena beyerleana		 	
Gastropoda	Caenogastropoda	Marginellidae	Hyalina pellucida		 	
Gastropoda	Caenogastropoda	Marginellidae	Marginella aureocincta		 	
Gastropoda	Caenogastropoda	Marginellidae	Marginella cincta		 	
Gastropoda	Caenogastropoda	Marginellidae	Marginella guttata		 	
Gastropoda	Caenogastropoda	Marginellidae	Marginella isabelae		 	
Gastropoda	Caenogastropoda	Marginellidae	Marginella oblonga		 	
Gastropoda	Caenogastropoda	Marginellidae	Marginella sp.		 	
Gastropoda	Caenogastropoda	Marginellidae	Persicula adamsiana		 	
Gastropoda	Caenogastropoda	Marginellidae	Persicula catenata		 	
Gastropoda	Caenogastropoda	Marginellidae	Persicula lavalleana		 	
Gastropoda	Caenogastropoda	Marginellidae	Persicula sp.		 	
Gastropoda	Caenogastropoda	Marginellidae	Prunum guttatum		 	
Gastropoda	Caenogastropoda	Marginellidae	Volvarina albolineata	White-line Marginella	 	
Gastropoda	Caenogastropoda	Marginellidae	Volvarina aureocincta		 	
Gastropoda	Caenogastropoda	Marginellidae	Volvarina avena		 	
Gastropoda	Caenogastropoda	Melongenidae	Melongena melongena		 	
Gastropoda	Caenogastropoda	Mitridae	Mitra albocincta		 	
Gastropoda	Caenogastropoda	Mitridae	Mitra barbadensis		 	
Gastropoda	Caenogastropoda	Mitridae	Mitra dermestina		 	
Gastropoda	Caenogastropoda	Mitridae	Mitra hanleyi		 	
Gastropoda	Caenogastropoda	Mitridae	Mitra hanleyi gemmata		 	
Gastropoda	Caenogastropoda	Mitridae	Mitra moisei		 	
Gastropoda	Caenogastropoda	Mitridae	Mitra nodulosa		 	
Gastropoda	Caenogastropoda	Mitridae	Mitra puella		 	
Gastropoda	Caenogastropoda	Mitridae	Mitra straminea		 	
Gastropoda	Caenogastropoda	Modulidae	Modulus carchedonius		 	
Gastropoda	Caenogastropoda	Modulidae	Modulus modulus		 	
Gastropoda	Caenogastropoda	Muricidae	Aspella anceps		 	
Gastropoda	Caenogastropoda	Muricidae	Aspella elizabethae		 	
Gastropoda	Caenogastropoda	Muricidae	Aspella paupercula		 	
Gastropoda	Caenogastropoda	Muricidae	Attiliosa sp.		 	
Gastropoda	Caenogastropoda	Muricidae	Chicoreus pomum		 	
Gastropoda	Caenogastropoda	Muricidae	Dermomurex sp.		 	
Gastropoda	Caenogastropoda	Muricidae	Drupa didyma		 	
Gastropoda	Caenogastropoda	Muricidae	Drupa nodulosa		 	
Gastropoda	Caenogastropoda	Muricidae	Favartia alveata		 	
Gastropoda	Caenogastropoda	Muricidae	Murex intermedia		 	
Gastropoda	Caenogastropoda	Muricidae	Murex macgintyi		 	
Gastropoda	Caenogastropoda	Muricidae	Murex pomum		 	
Gastropoda	Caenogastropoda	Muricidae	Murex woodringi		 	
Gastropoda	Caenogastropoda	Muricidae	Muricopsis caribbaea		 	
Gastropoda	Caenogastropoda	Muricidae	Muricopsis hexagona		 	
Gastropoda	Caenogastropoda	Muricidae	Muricopsis oxytata		 	
Gastropoda	Caenogastropoda	Muricidae	Plicopurpura patula		 	
Gastropoda	Caenogastropoda	Muricidae	Risomurex deformis		 	
Gastropoda	Caenogastropoda	Muricidae	Risomurex muricoides		 	
Gastropoda	Caenogastropoda	Muricidae	Risomurex schrammi		 	
Gastropoda	Caenogastropoda	Muricidae	Thais deltoidea		 	
Gastropoda	Caenogastropoda	Muricidae	Thais haemastoma		 	
Gastropoda	Caenogastropoda	Muricidae	Thais rustica		 	
Gastropoda	Caenogastropoda	Muricidae	Thais trinitatensis		 	
Gastropoda	Caenogastropoda	Muricidae	Trachipollia nodulosa		 	
Gastropoda	Caenogastropoda	Muricidae	Typhis cancellatus		 	
Gastropoda	Caenogastropoda	Muricidae	Urosalpinx cinerea		 	
Gastropoda	Caenogastropoda	Muricidae	Urosalpinx perrugata		 	
Gastropoda	Caenogastropoda	Nassariidae	Nassarius albus		 	
Gastropoda	Caenogastropoda	Nassariidae	Nassarius albus consensus		 	
Gastropoda	Caenogastropoda	Nassariidae	Nassarius vibex		 	
Gastropoda	Caenogastropoda	Naticidae	Glyphepithema floridana		 	
Gastropoda	Caenogastropoda	Naticidae	Natica livida		 	
Gastropoda	Caenogastropoda	Naticidae	Natica pusilla		 	
Gastropoda	Caenogastropoda	Naticidae	Naticarius canrena	Colorful moonsnail	 	
Gastropoda	Caenogastropoda	Naticidae	Polinices hepaticus		 	
Gastropoda	Caenogastropoda	Naticidae	Polinices lacteus		 	
Gastropoda	Caenogastropoda	Olividae	Agaronia sp.		 	
Gastropoda	Caenogastropoda	Olividae	Agaronia testacea		 	
Gastropoda	Caenogastropoda	Olividae	Jaspidella blainesi		 	
Gastropoda	Caenogastropoda	Olividae	Oliva reticularis		 	
Gastropoda	Caenogastropoda	Olividae	Olivella bullula		 	
Gastropoda	Caenogastropoda	Olividae	Olivella cf.exilis		 	
Gastropoda	Caenogastropoda	Olividae	Olivella chiriquiensis		 	
