Class	Order	Family	Genus/Species	Common Name	 	
Demospongiae	Haplosclerida	Chalinidae	Haliclona (Halichoclona) hogarthi	Lavender or Purple Finger Sponge	 	
Demospongiae	Haplosclerida	Chalinidae	Haliclona albifragilis		 	
Demospongiae	Haplosclerida	Chalinidae	Haliclona caerulea		 	
Demospongiae	Haplosclerida	Chalinidae	Haliclona curacaoensis			
Demospongiae	Haplosclerida	Chalinidae	Haliclona implexiformis			
Demospongiae	Haplosclerida	Chalinidae	Haliclona magnifica		 	
Demospongiae	Haplosclerida	Chalinidae	Haliclona manglaris			
Demospongiae	Haplosclerida	Chalinidae	Haliclona megasclera		 	
Demospongiae	Haplosclerida	Chalinidae	Haliclona melana		 	
Demospongiae	Haplosclerida	Chalinidae	Haliclona mucifibrosa			
Demospongiae	Haplosclerida	Chalinidae	Haliclona piscaderaensis			
Demospongiae	Haplosclerida	Chalinidae	Haliclona sp. 1		 	
Demospongiae	Haplosclerida	Chalinidae	Haliclona sp. 2		 	
Demospongiae	Haplosclerida	Chalinidae	Haliclona tubifera			
Demospongiae	Haplosclerida	Chalinidae	Haliclona twincayensis			
Demospongiae	Haplosclerida	Chalinidae	Haliclona vansoesti			
Demospongiae	Haplosclerida	Chalinidae	Haliclona vermeuleni			
Demospongiae	Haplosclerida	Chalinidae	Haliclona walentinae		 	
Demospongiae	Haplosclerida	Haliclonidae	Xestospongia bocatorensis		 	
Demospongiae	Haplosclerida	Haliclonidae	Xestospongia n. muta	Giant barrel sponge		
Demospongiae	Haplosclerida	Haliclonidae	Xestospongia n. rosariensis			
Demospongiae	Haplosclerida	Haliclonidae	Xestospongia n. s.p 1		 	
Demospongiae	Haplosclerida	Haliclonidae	Xestospongia proxima			
Demospongiae	Haplosclerida	Niphatidae	Amphimedon complanata		 	
Demospongiae	Haplosclerida	Niphatidae	Amphimedon compressa	Erect rope sponge		
Demospongiae	Haplosclerida	Niphatidae	Amphimedon erina			
Demospongiae	Haplosclerida	Niphatidae	Amphimedon viridis			
Demospongiae	Haplosclerida	Niphatidae	Cribrochalina vasculum		 	
Demospongiae	Haplosclerida	Niphatidae	Niphates amorpha		 	
Demospongiae	Haplosclerida	Niphatidae	Niphates blue		 	
Demospongiae	Haplosclerida	Niphatidae	Niphates caycedoi			
Demospongiae	Haplosclerida	Niphatidae	Niphates erecta	Lavender rope sponge		
Demospongiae	Haplosclerida	Niphatidae	Niphates ramosa		 	
Demospongiae	Haplosclerida	Niphatidae	Niphates sp.		 	
Demospongiae	Haplosclerida	Petrosiidae	Neopetrosia carbonaria			
Demospongiae	Haplosclerida	Petrosiidae	Neopetrosia subtriangularis	Spawling sponge		
Demospongiae	Haplosclerida	Petrosiidae	Petrosia pellasarca		 	
Demospongiae	Haplosclerida	Petrosiidae	Petrosia sp.		 	
Demospongiae	Haplosclerida	Petrosiidae	Petrosia weinbergi		 	
