phylum	class	order	family	genus	species	tsn	accepted_tsn	in_bocas_db_raw	in_bocas_db_acctsn	acctsn_or_raw_in_bdb
Mollusca	Gastropoda	Neogastropoda	Columbellidae	Alia	Alia carinata	73705	73705	FALSE	FALSE	FALSE
Cnidaria	Anthozoa	Alcyonacea	NA	NA	Cervera atlantica	NA	NA	FALSE	NA	NA
Cnidaria	Anthozoa	Actiniaria	Boloceroididae	Boloceroides	Boloceroides mcmurrichi	611605	611605	FALSE	FALSE	FALSE
Arthropoda	Insecta	Diptera	Psychodidae	Psychoda	Psychoda alternata	125469	125469	FALSE	FALSE	FALSE
Arthropoda	Malacostraca	Decapoda	Mithracidae	Pitho	Pitho lherminieri	98547	98547	TRUE	TRUE	TRUE
Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus indicus	85326	85326	FALSE	FALSE	FALSE
Chordata	Actinopteri	Kurtiformes	Apogonidae	Phaeoptyx	Phaeoptyx pigmentaria	168311	168311	FALSE	FALSE	FALSE
Mollusca	Gastropoda	Pleurobranchida	Pleurobranchidae	Pleurobranchus	Pleurobranchus areolatus	78125	78125	FALSE	FALSE	FALSE
Mollusca	Bivalvia	Pterioida	Isognomonidae	Isognomon	Isognomon alatus	79602	79602	TRUE	TRUE	TRUE
Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	Oncaea	Oncaea waldemari	NA	NA	FALSE	NA	NA
Mollusca	Gastropoda	Lepetellida	Fissurellidae	Diodora	Diodora cayenensis	69550	69550	TRUE	TRUE	TRUE
Porifera	Demospongiae	Clionaida	Clionaidae	Clionaopsis	Clionaopsis platei	NA	NA	FALSE	NA	NA
Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	Campanularia	Campanularia hincksii	49483	49483	FALSE	FALSE	FALSE
Porifera	Demospongiae	Poecilosclerida	Hymedesmiidae	Phorbas	Phorbas bihamiger	NA	NA	FALSE	NA	NA
Echinodermata	Ophiuroidea	Ophiurida	Ophiocomidae	Ophiocoma	Ophiocoma wendtii	157485	157485	TRUE	TRUE	TRUE
Arthropoda	Insecta	Coleoptera	Curculionidae	Euplatypus	Euplatypus parallelus	NA	NA	FALSE	NA	NA
Chordata	Aves	Pelecaniformes	Pelecanidae	Pelecanus	Pelecanus occidentalis	174685	174685	TRUE	TRUE	TRUE
Mollusca	Gastropoda	NA	Cerithiidae	Cerithium	Cerithium litteratum	72122	72122	TRUE	TRUE	TRUE
Mollusca	Bivalvia	Veneroida	Tellinidae	Scissula	Scissula similis	NA	NA	FALSE	NA	NA
