phylum	class	order	family	genus	species	tsn	accepted_tsn	in_bocas_db_raw	in_bocas_db_acctsn	acctsn_or_raw_in_bdb
Porifera	Demospongiae	Verongiida	Aplysinidae	Aplysina	Aplysina aerophoba	NA	NA	FALSE	NA	NA
Arthropoda	Insecta	Hymenoptera	Formicidae	Camponotus	Camponotus floridanus	575931	575931	FALSE	FALSE	FALSE
Porifera	Demospongiae	Haplosclerida	Chalinidae	Haliclona	Haliclona amphioxa	NA	NA	FALSE	NA	NA
Echinodermata	Holothuroidea	Aspidochirotida	Holothuriidae	Holothuria	Holothuria arenicola	158319	158319	TRUE	TRUE	TRUE
Chordata	Actinopteri	Gerreiformes	Gerreidae	Eucinostomus	Eucinostomus gula	169016	169016	FALSE	FALSE	FALSE
Cnidaria	Anthozoa	Alcyonacea	Briareidae	Briareum	Briareum asbestinum	52083	52083	TRUE	TRUE	TRUE
Gastrotricha	NA	Macrodasyida	Macrodasyidae	Urodasys	Urodasys calicostylis	NA	NA	FALSE	NA	NA
Chordata	Actinopteri	Chaetodontiformes	Chaetodontidae	Chaetodon	Chaetodon striatus	169563	169563	TRUE	TRUE	TRUE
Chordata	Actinopteri	Labriformes	Labridae	Halichoeres	Halichoeres bivittatus	170503	170503	TRUE	TRUE	TRUE
Chordata	Actinopteri	Lutjaniformes	Lutjanidae	Ocyurus	Ocyurus chrysurus	168907	168907	TRUE	TRUE	TRUE
Arthropoda	Malacostraca	Decapoda	Sesarmidae	Armases	Armases cinereum	621739	621739	FALSE	FALSE	FALSE
Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	180366	180366	FALSE	FALSE	FALSE
Porifera	Demospongiae	Haplosclerida	Chalinidae	Haliclona	Haliclona vansoesti	NA	NA	TRUE	NA	TRUE
Chordata	Actinopteri	Lutjaniformes	Haemulidae	Haemulon	Haemulon aurolineatum	169058	169058	TRUE	TRUE	TRUE
Annelida	Polychaeta	Phascolosomatiformes	Phascolosomatidae	Phascolosoma	Phascolosoma perlucens	154942	772947	TRUE	TRUE	TRUE
Porifera	Demospongiae	Clionaida	Clionaidae	Cliona	Clionaopsis platei	NA	NA	FALSE	NA	NA
Arthropoda	Malacostraca	Decapoda	Mithracidae	Amphithrax	Amphithrax hemphilli	NA	NA	FALSE	NA	NA
Cnidaria	Anthozoa	Alcyonacea	Gorgoniidae	Antillogorgia	Antillogorgia bipinnata	NA	NA	FALSE	NA	NA
Porifera	Demospongiae	Haplosclerida	Chalinidae	Haliclona	Haliclona oculata	47779	47779	FALSE	FALSE	FALSE
Porifera	Demospongiae	Axinellida	Raspailiidae	Ectyoplasia	Ectyoplasia ferox	48160	48160	TRUE	TRUE	TRUE
Arthropoda	Insecta	Diptera	Ceratopogonidae	Culicoides	Culicoides furens	127507	127507	FALSE	FALSE	FALSE
Porifera	Demospongiae	Poecilosclerida	Microcionidae	Clathria	Clathria armata	NA	NA	FALSE	NA	NA
Porifera	Demospongiae	Dictyoceratida	Spongiidae	Hyattella	Hyattella sinuosa	NA	NA	FALSE	NA	NA
Arthropoda	Malacostraca	Decapoda	Majidae	Microphrys	Microphrys bicornutus	621728	621728	TRUE	TRUE	TRUE
Annelida	Polychaeta	Spionida	Chaetopteridae	Chaetopterus	Chaetopterus variopedatus	67097	67097	FALSE	FALSE	FALSE
Mollusca	Bivalvia	Pterioida	Pteriidae	Pinctada	Pinctada imbricata	79593	79593	TRUE	TRUE	TRUE
Mollusca	Bivalvia	Pterioida	Pinnidae	Pinna	Pinna carnea	79586	79586	TRUE	TRUE	TRUE
Chordata	Actinopteri	Labriformes	Labridae	Sparisoma	Sparisoma radians	170865	170865	TRUE	TRUE	TRUE
Nemertea	Pilidiophora	Heteronemertea	Lineidae	Micrura	Micrura rubramaculosa	NA	NA	TRUE	NA	TRUE
Cnidaria	Anthozoa	Scleractinia	Meandrinidae	NA	Eusmilia fastigiata	53622	53622	TRUE	TRUE	TRUE
Arthropoda	Insecta	Hymenoptera	Formicidae	Azteca	Azteca ovaticeps	574692	574692	FALSE	FALSE	FALSE
Cnidaria	Hydrozoa	Leptothecata	Eirenidae	Eirene	Eirene ceylonensis	49789	49789	FALSE	FALSE	FALSE
Arthropoda	Malacostraca	Decapoda	Eriphiidae	Tiaramedon	Tiaramedon spinosum	NA	NA	FALSE	NA	NA
Xenacoelomorpha	NA	Acoela	Hofsteniidae	Hofstenia	Hofstenia miamia	555642	555642	TRUE	TRUE	TRUE
Arthropoda	Malacostraca	Decapoda	Portunidae	Callinectes	Callinectes bocourti	98703	98703	FALSE	FALSE	FALSE
Annelida	Polychaeta	Aspidosiphonidormes	Aspidosiphonidae	Lithacrosiphon	Lithacrosiphon cristatus	154871	154871	TRUE	TRUE	TRUE
Porifera	Homoscleromorpha	Homosclerophorida	Plakinidae	Pseudocorticium	Pseudocorticium jarrei	NA	NA	FALSE	NA	NA
Cnidaria	Anthozoa	Actiniaria	Phymanthidae	Phymanthus	Phymanthus crucifer	52794	52794	TRUE	TRUE	TRUE
Porifera	Demospongiae	Axinellida	Axinellidae	Ptilocaulis	Ptilocaulis walpersi	NA	NA	TRUE	NA	TRUE
Nemertea	Enopla	Monostilifera	Amphiporidae	Zygonemertes	Zygonemertes simonae	NA	NA	FALSE	NA	NA
Mollusca	Cephalopoda	Octopoda	Octopodidae	Octopus	Octopus briareus	82610	82610	FALSE	FALSE	FALSE
Arthropoda	Insecta	Coleoptera	Cerambycidae	Prionus	Prionus insularis	NA	NA	FALSE	NA	NA
Chordata	Actinopteri	NA	Sphyraenidae	Sphyraena	Sphyraena barracuda	650251	650251	TRUE	TRUE	TRUE
Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Madracis	Madracis myriaster	53012	53012	FALSE	TRUE	TRUE
Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus chirurgus	172253	172253	TRUE	TRUE	TRUE
Mollusca	Gastropoda	Littorinimorpha	Vermetidae	Eualetes	Eualetes tulipa	NA	NA	FALSE	NA	NA
Chaetognatha	Sagittoidea	Aphragmophora	Krohnittidae	Krohnitta	Krohnitta subtilis	158849	158849	FALSE	FALSE	FALSE
Gastrotricha	NA	Macrodasyida	Macrodasyidae	Urodasys	Urodasys viviparus	57693	57693	TRUE	TRUE	TRUE
Arthropoda	Malacostraca	Amphipoda	Ampithoidae	Ampithoe	Ampithoe longimana	93423	93423	FALSE	FALSE	FALSE
Mollusca	Bivalvia	Veneroida	Veneridae	Chione	Chione cancellata	81523	81523	TRUE	TRUE	TRUE
Cnidaria	Hydrozoa	Anthoathecata	Proboscidactylidae	Proboscidactyla	Proboscidactyla ornata	50815	50815	FALSE	FALSE	FALSE
Porifera	Demospongiae	Poecilosclerida	Clathriidae	Ophlitaspongia	Ophlitaspongia papilla	NA	NA	FALSE	NA	NA
Chordata	Actinopteri	Spariformes	Sparidae	Calamus	Calamus penna	169205	169205	TRUE	TRUE	TRUE
Arthropoda	Malacostraca	Tanaidacea	Leptocheliidae	Leptochelia	Leptochelia forresti	92049	92049	FALSE	FALSE	FALSE
Chordata	Ascidiacea	Stolidobranchia	Styelidae	Symplegma	Symplegma rubra	NA	NA	TRUE	NA	TRUE
Cnidaria	Hydrozoa	Limnomedusae	Olindiasidae	Cubaia	Cubaia aphrodite	50757	50757	FALSE	FALSE	FALSE
Cnidaria	Anthozoa	Scleractinia	NA	Oulastrea	Oulastrea crispata	53357	53357	FALSE	FALSE	FALSE
Echinodermata	Echinoidea	Diadematoida	Diadematidae	Diadema	Diadema antillarum	157877	157877	TRUE	TRUE	TRUE
Porifera	Demospongiae	Poecilosclerida	Microcionidae	Clathria	Clathria reinwardti	NA	NA	FALSE	NA	NA
Annelida	Polychaeta	Aspidosiphonidormes	Aspidosiphonidae	Aspidosiphon	Aspidosiphon fischeri	772591	772591	TRUE	TRUE	TRUE
Porifera	Demospongiae	Dendroceratida	Darwinellidae	Chelonaplysilla	Chelonaplysilla delicata	NA	NA	FALSE	NA	NA
Porifera	Demospongiae	Poecilosclerida	Iotrochotidae	Iotrochota	Iotrochota birotulata	NA	NA	TRUE	NA	TRUE
Bryozoa	Gymnolaemata	Ctenostomatida	Vesiculariidae	Amathia	Amathia vidovici	155554	155554	FALSE	FALSE	FALSE
Arthropoda	Malacostraca	Decapoda	Mithracidae	Pitho	Pitho quadridentata	98552	98552	FALSE	FALSE	FALSE
Annelida	Polychaeta	Golfingiida	Sipunculidae	Sipunculus	Sipunculus nudus	154523	154523	FALSE	FALSE	FALSE
Nemertea	Palaeonemertea	NA	Cephalothricidae	Cephalothrix	Cephalothrix alba	NA	NA	FALSE	NA	NA
Porifera	Demospongiae	Tethyida	Tethyidae	Tethya	Tethya actinia	48573	48573	TRUE	TRUE	TRUE
Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	Bugula	Bugula neritina	156056	156056	TRUE	TRUE	TRUE
Cnidaria	Hydrozoa	Siphonophorae	Agalmatidae	Nanomia	Nanomia bijuga	51389	51389	FALSE	FALSE	FALSE
Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles strodei	NA	NA	FALSE	NA	NA
Rotifera	Monogononta	Ploima	Synchaetidae	Synchaeta	Synchaeta pectinata	59259	59259	FALSE	FALSE	FALSE
Porifera	Demospongiae	Poecilosclerida	Desmacididae	Desmapsamma	Desmapsamma anchorata	NA	NA	TRUE	NA	TRUE
Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis encrasicolus	161831	161831	FALSE	FALSE	FALSE
Arthropoda	Malacostraca	Isopoda	Ligiidae	Ligia	Ligia baudiniana	93231	93231	FALSE	FALSE	FALSE
Porifera	Demospongiae	Suberitida	Suberitidae	Plicatellopsis	Plicatellopsis fragilis	NA	NA	FALSE	NA	NA
Mollusca	Bivalvia	Myoida	Teredinidae	Bankia	Bankia carinata	81844	81844	FALSE	FALSE	FALSE
Mollusca	Bivalvia	Veneroida	Veneridae	Lirophora	Lirophora paphia	NA	NA	FALSE	NA	NA
Nemertea	Pilidiophora	Heteronemertea	Lineidae	Micrura	Micrura ignea	NA	NA	TRUE	NA	TRUE
Mollusca	Bivalvia	Arcoida	Arcidae	Anadara	Anadara notabilis	79353	79353	TRUE	TRUE	TRUE
Chordata	Actinopteri	Carangiformes	Carangidae	Caranx	Caranx sexfasciatus	168620	168620	FALSE	FALSE	FALSE
Chordata	Actinopteri	Syngnathiformes	Mullidae	Mulloidichthys	Mulloidichthys martinicus	169408	169408	TRUE	TRUE	TRUE
Cnidaria	Anthozoa	Corallimorpharia	Discosomidae	Rhodactis	Rhodactis mussoides	NA	NA	FALSE	NA	NA
Chordata	Chondrichthyes	Myliobatiformes	Urotrygonidae	Urobatis	Urobatis jamaicensis	621035	621035	FALSE	TRUE	TRUE
Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	Clytia	Clytia hummelincki	NA	NA	FALSE	NA	NA
Annelida	Polychaeta	Phascolosomatiformes	Phascolosomatidae	Antillesoma	Antillesoma antillarum	772615	772615	TRUE	TRUE	TRUE
Chordata	Actinopteri	Carangiformes	Carangidae	Trachinotus	Trachinotus falcatus	168709	168709	FALSE	FALSE	FALSE
Nematoda	Chromadorea	Rhabditida	Panagrolaimidae	Panagrolaimus	Panagrolaimus paetzoldi	NA	NA	FALSE	NA	NA
Echinodermata	Echinoidea	Cidaroida	Cidaridae	Eucidaris	Eucidaris tribuloides	157826	157826	TRUE	TRUE	TRUE
Cnidaria	Anthozoa	Scleractinia	Merulinidae	Orbicella	Orbicella annularis	NA	NA	FALSE	NA	NA
Echinodermata	Holothuroidea	Aspidochirotida	Holothuriidae	Holothuria	Holothuria surinamensis	158316	158316	FALSE	FALSE	FALSE
Annelida	Polychaeta	Golfingiida	Sipunculidae	Siphonosoma	Siphonosoma cumanense	154567	154567	FALSE	FALSE	FALSE
Mollusca	Gastropoda	Pteropoda	Creseidae	Creseis	Creseis clava	NA	NA	FALSE	NA	NA
Arthropoda	Insecta	Coleoptera	Latridiidae	Enicmus	Enicmus histrio	NA	NA	FALSE	NA	NA
Mollusca	Gastropoda	Trochida	Tegulidae	Tegula	Tegula fasciata	69952	69952	TRUE	TRUE	TRUE
Porifera	Demospongiae	Chondrillida	Chondrillidae	Chondrosia	Chondrosia reniformis	48725	48725	TRUE	TRUE	TRUE
Echinodermata	Ophiuroidea	Ophiurida	Ophiocomidae	Ophiocoma	Ophiocoma echinata	157486	157486	TRUE	TRUE	TRUE
Arthropoda	Branchiopoda	Diplostraca	Podonidae	Pseudevadne	Pseudevadne tergestina	684627	684627	FALSE	FALSE	FALSE
Echinodermata	Ophiuroidea	Ophiurida	Ophiodermatidae	Ophioderma	Ophioderma cinerea	NA	NA	FALSE	NA	NA
Chordata	Ascidiacea	Stolidobranchia	Styelidae	Botrylloides	Botrylloides nigrum	159239	159239	TRUE	TRUE	TRUE
Porifera	Demospongiae	Haplosclerida	Callyspongiidae	Callyspongia	Callyspongia plicifera	NA	NA	FALSE	NA	NA
Chordata	Actinopteri	Beloniformes	Hemiramphidae	Hemiramphus	Hemiramphus brasiliensis	165460	165460	FALSE	FALSE	FALSE
Annelida	Polychaeta	Eunicida	Amphinomidae	Eurythoe	Eurythoe complanata	65196	65196	FALSE	FALSE	FALSE
Chordata	Actinopteri	Chaetodontiformes	Chaetodontidae	Chaetodon	Chaetodon capistratus	169558	169558	TRUE	TRUE	TRUE
Chordata	Actinopteri	Gobiiformes	Gobiidae	Ctenogobius	Ctenogobius saepepallens	636803	636803	FALSE	TRUE	TRUE
Porifera	Demospongiae	Haplosclerida	Petrosiidae	Petrosia	Petrosia ficiformis	47899	47899	FALSE	FALSE	FALSE
Chordata	Actinopteri	Beloniformes	Belonidae	Tylosurus	Tylosurus crocodilus	165577	165577	FALSE	FALSE	FALSE
Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	Eucheilota	Eucheilota maculata	50576	50576	FALSE	FALSE	FALSE
Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	Obelia	Obelia bidentata	49532	49532	TRUE	TRUE	TRUE
Mollusca	Bivalvia	Mytiloida	Mytilidae	Brachidontes	Brachidontes exustus	79519	79519	TRUE	TRUE	TRUE
Chordata	Chondrichthyes	Myliobatiformes	Dasyatidae	Hypanus	Hypanus guttatus	NA	NA	FALSE	NA	NA
Chordata	Actinopteri	Labriformes	Labridae	Sparisoma	Sparisoma rubripinne	170866	170866	TRUE	TRUE	TRUE
Cnidaria	Anthozoa	Alcyonacea	Anthothelidae	Erythropodium	Erythropodium caribaeorum	52100	52100	TRUE	TRUE	TRUE
Nemertea	Palaeonemertea	NA	Cephalothricidae	Cephalothrix	Cephalothrix simula	NA	NA	FALSE	NA	NA
Cnidaria	Anthozoa	Scleractinia	Poritidae	Porites	Porites branneri	53186	53186	FALSE	FALSE	FALSE
Arthropoda	Insecta	Diptera	Simuliidae	Simulium	Simulium suyoense	NA	NA	FALSE	NA	NA
Cnidaria	Anthozoa	Ceriantharia	Arachnactidae	Isarachnanthus	Isarachnanthus nocturnus	NA	NA	FALSE	NA	NA
Chordata	Actinopteri	Labriformes	Labridae	Sparisoma	Sparisoma viride	170867	170867	TRUE	TRUE	TRUE
Chordata	Actinopteri	Atheriniformes	Atherinidae	Hypoatherina	Hypoatherina harringtonensis	166038	166038	FALSE	FALSE	FALSE
Entoprocta	NA	NA	Loxosomatidae	Loxosomella	Loxosomella vivipara	708767	708767	FALSE	FALSE	FALSE
Chordata	Actinopteri	Blenniiformes	Blenniidae	Hypleurochilus	Hypleurochilus springeri	171201	171201	FALSE	FALSE	FALSE
Chordata	Actinopteri	Blenniiformes	Labrisomidae	Stathmonotus	Stathmonotus stahli	171447	171447	FALSE	FALSE	FALSE
Porifera	Demospongiae	Biemnida	Biemnidae	Sigmaxinella	Sigmaxinella hipposiderus	NA	NA	FALSE	NA	NA
Porifera	Demospongiae	Suberitida	NA	Topsentia	Topsentia ophiraphidites	NA	NA	FALSE	NA	NA
Mollusca	Bivalvia	Pterioida	Pinnidae	Atrina	Atrina rigida	79582	79582	TRUE	TRUE	TRUE
Porifera	Demospongiae	Suberitida	Halichondriidae	Hymeniacidon	Hymeniacidon perlevis	NA	NA	FALSE	NA	NA
Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	Clytia	Clytia folleata	49611	49611	FALSE	FALSE	FALSE
Chordata	Actinopteri	Gerreiformes	Gerreidae	Gerres	Gerres cinereus	169032	169032	TRUE	TRUE	TRUE
Porifera	Demospongiae	Suberitida	Halichondriidae	Halichondria	Halichondria panicea	48396	48396	FALSE	FALSE	FALSE
Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia tonsa	86088	86088	FALSE	FALSE	FALSE
Cnidaria	Hydrozoa	Narcomedusae	Cuninidae	Cunina	Cunina fowleri	51240	51240	FALSE	FALSE	FALSE
Chordata	Actinopteri	Beloniformes	Belonidae	Tylosurus	Tylosurus acus	165571	165571	FALSE	FALSE	FALSE
Echinodermata	Ophiuroidea	Ophiurida	Ophiactidae	Ophiactis	Ophiactis savignyi	157628	157628	TRUE	TRUE	TRUE
Chordata	Chondrichthyes	Myliobatiformes	Dasyatidae	Dasyatis	Dasyatis americana	160951	160951	TRUE	TRUE	TRUE
Echinodermata	Echinoidea	Temnopleuroida	Toxopneustidae	Lytechinus	Lytechinus variegatus	157921	157921	TRUE	TRUE	TRUE
Chordata	Ascidiacea	Enterogona	Ascidiidae	Ascidia	Ascidia ahodori	NA	NA	FALSE	NA	NA
Annelida	Polychaeta	Phyllodocida	Syllidae	Myrianida	Myrianida gidholmi	NA	NA	FALSE	NA	NA
Porifera	Demospongiae	Chondrillida	Chondrillidae	Chondrilla	Chondrilla nucula	48721	48721	TRUE	TRUE	TRUE
Mollusca	Gastropoda	Nudibranchia	Glaucidae	Phidiana	Phidiana lynceus	78716	78716	FALSE	FALSE	FALSE
Porifera	Demospongiae	Biemnida	Biemnidae	Biemna	Biemna fistulosa	NA	NA	FALSE	NA	NA
Arthropoda	Hexanauplia	Calanoida	Temoridae	Temora	Temora stylifera	85875	85875	FALSE	FALSE	FALSE
Chordata	Ascidiacea	Enterogona	Corellidae	Rhodosoma	Rhodosoma turcicum	159169	159169	TRUE	TRUE	TRUE
Cnidaria	Anthozoa	Alcyonacea	Primnoidae	NA	Helicogorgia flagellata	NA	NA	FALSE	NA	NA
Porifera	Demospongiae	Axinellida	Axinellidae	Dragmacidon	Dragmacidon reticulatum	NA	NA	TRUE	NA	TRUE
Porifera	Demospongiae	Bubarida	Dictyonellidae	Svenzea	Svenzea zeai	NA	NA	TRUE	NA	TRUE
Porifera	Homoscleromorpha	Homosclerophorida	Plakinidae	Plakina	Plakortis halichondrioides	48709	48709	FALSE	FALSE	FALSE
Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus bahianus	172252	172252	TRUE	TRUE	TRUE
Arthropoda	Insecta	Hemiptera	Rhyparochromidae	Neopamera	Neopamera bilobata	108084	108084	FALSE	FALSE	FALSE
Porifera	Demospongiae	Poecilosclerida	Crellidae	Crella	Crella incrustans	NA	NA	FALSE	NA	NA
Echinodermata	Ophiuroidea	Ophiurida	Ophionereidae	Ophionereis	Ophionereis olivacea	157772	157772	FALSE	FALSE	FALSE
Chordata	Actinopteri	Mugiliformes	Mugilidae	Mugil	Mugil rubrioculus	NA	NA	FALSE	NA	NA
Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	180092	180092	TRUE	TRUE	TRUE
Mollusca	Gastropoda	Trochida	Areneidae	Arene	Arene cruentata	70210	70210	FALSE	FALSE	FALSE
Porifera	Demospongiae	Haplosclerida	Niphatidae	Hemigellius	Hemigellius pilosus	NA	NA	FALSE	NA	NA
Cnidaria	Hydrozoa	Leptothecata	Laodiceidae	Laodicea	Laodicea undulata	50487	50487	FALSE	FALSE	FALSE
Mollusca	Gastropoda	NA	Cerithiidae	Bittiolum	Bittiolum varium	567284	567284	TRUE	TRUE	TRUE
Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus quasimodo	85327	85327	FALSE	FALSE	FALSE
Porifera	Demospongiae	Tetractinellida	Geodiidae	Geodia	Geodia tumulosa	NA	NA	FALSE	NA	NA
Mollusca	Bivalvia	Arcoida	Arcidae	Anadara	Anadara chemnitzii	79357	79357	FALSE	TRUE	TRUE
Arthropoda	Insecta	Hymenoptera	Formicidae	Monomorium	Monomorium pharaonis	154221	154221	FALSE	FALSE	FALSE
Annelida	Clitellata	Haplotaxida	Glossoscolecidae	Pontoscolex	Pontoscolex corethrurus	69126	69126	FALSE	FALSE	FALSE
Chordata	Actinopteri	Lutjaniformes	Haemulidae	Haemulon	Haemulon bonariense	169061	169061	FALSE	FALSE	FALSE
Chordata	Actinopteri	Lutjaniformes	Lutjanidae	Lutjanus	Lutjanus synagris	168860	168860	TRUE	TRUE	TRUE
Echinodermata	Ophiuroidea	Ophiurida	Ophiotrichidae	Ophiothrix	Ophiothrix suensoni	157805	157805	FALSE	TRUE	TRUE
Mollusca	Polyplacophora	Neoloricata	Acanthochitonidae	Acanthochitona	Acanthochitona hemphilli	79049	79049	FALSE	FALSE	FALSE
Nemertea	Enopla	Monostilifera	Ototyphlonemertidae	Ototyphlonemertes	Ototyphlonemertes santacruzensis	NA	NA	FALSE	NA	NA
Chordata	Actinopteri	NA	Pomacentridae	Stegastes	Stegastes planifrons	615485	615485	TRUE	TRUE	TRUE
Mollusca	Gastropoda	Pteropoda	Limacinidae	Limacina	Limacina inflata	76345	76345	FALSE	FALSE	FALSE
Porifera	Demospongiae	Clionaida	Clionaidae	Pione	Pione velans	NA	NA	FALSE	NA	NA
Cnidaria	Anthozoa	Scleractinia	Mussidae	NA	Pseudodiploria strigosa	NA	NA	FALSE	NA	NA
Bryozoa	Gymnolaemata	Ctenostomatida	Vesiculariidae	Amathia	Amathia brasiliensis	NA	NA	FALSE	NA	NA
Mollusca	Gastropoda	NA	Placobranchidae	Elysia	Elysia subornata	77951	77951	FALSE	FALSE	FALSE
Arthropoda	Collembola	Entomobryomorpha	Entomobryidae	Willowsia	Willowsia nigromaculata	99769	99769	FALSE	FALSE	FALSE
Chordata	Actinopteri	NA	Centropomidae	Centropomus	Centropomus undecimalis	167648	167648	FALSE	FALSE	FALSE
Mollusca	Gastropoda	Trochida	Calliostomatidae	Calliostoma	Calliostoma jujubinum	69817	69817	TRUE	TRUE	TRUE
Annelida	Polychaeta	Golfingiida	Sipunculidae	Sipunculus	Sipunculus polymyotus	154545	154545	FALSE	FALSE	FALSE
Annelida	Polychaeta	Phyllodocida	Hesionidae	Neogyptis	Neogyptis carriebowcayi	NA	NA	FALSE	NA	NA
Xenacoelomorpha	NA	Acoela	Sagittiferidae	Convolutriloba	Convolutriloba longifissura	1039130	1039130	FALSE	FALSE	FALSE
Chordata	Actinopteri	Lutjaniformes	Lutjanidae	Lutjanus	Lutjanus argentiventris	168851	168851	FALSE	FALSE	FALSE
Echinodermata	Ophiuroidea	Ophiurida	Ophiotrichidae	Ophiothrix	Ophiothrix lineata	157806	157806	TRUE	TRUE	TRUE
Porifera	Demospongiae	Poecilosclerida	Microcionidae	Clathria	Clathria prolifera	NA	NA	FALSE	NA	NA
Chordata	Actinopteri	Gerreiformes	Gerreidae	Diapterus	Diapterus rhombeus	169027	169027	FALSE	FALSE	FALSE
Arthropoda	Malacostraca	Decapoda	Penaeidae	Penaeus	Penaeus californiensis	95613	551573	FALSE	FALSE	FALSE
