Class	Order	Family	genspec	Common Name	tsn	accepted_tsn
Gymnolaemata	Cheilostomata	Savignyellidae	Savignyella lafontii	NA	NA	NA
Gymnolaemata	Cheilostomata	Schizoporellidae	Lepralia fissurata	NA	NA	NA
Gymnolaemata	Cheilostomata	Schizoporellidae	Escharina pesanseris	NA	156361	156361
Gymnolaemata	Cheilostomata	Schizoporellidae	Gemelliporidra belikina	NA	NA	NA
Gymnolaemata	Cheilostomata	Schizoporellidae	Gemelliporidra multilamellosa	NA	NA	NA
Gymnolaemata	Cheilostomata	Schizoporellidae	Schizoporella pungens	NA	NA	NA
Gymnolaemata	Cheilostomata	Schizoporellidae	Stylopoma sp.	NA	NA	NA
Gymnolaemata	Cheilostomata	Smittinidae	Parasmittina sp. 1	NA	NA	NA
Gymnolaemata	Cheilostomata	Smittinidae	Parasmittina sp. 2	NA	NA	NA
Gymnolaemata	Cheilostomata	Smittinidae	Parasmittina sp. 3	NA	NA	NA
Gymnolaemata	Cheilostomata	Smittinidae	Parasmittina sp. 4	NA	NA	NA
Gymnolaemata	Cheilostomata	Smittinidae	Parasmittina sp. 5	NA	NA	NA
Gymnolaemata	Cheilostomata	Smittinidae	Smittipora sp. 1	NA	NA	NA
Gymnolaemata	Cheilostomata	Smittinidae	Smittipora sp. 2	NA	NA	NA
Gymnolaemata	Cheilostomata	Steginoporellidae	Labioporella granulosa	NA	NA	NA
Gymnolaemata	Cheilostomata	Steginoporellidae	Steginoporella sp.	NA	NA	NA
Gymnolaemata	Cheilostomata	Tetraplariidae	Tetraplaria dichotoma	NA	156540	156540
Gymnolaemata	Cheilostomata	Teuchoporidae	Lagenicella marginata	NA	201815	201815
Gymnolaemata	Cheilostomata	Umbonulidae	Hippopleurifera belizae	NA	NA	NA
Gymnolaemata	Cheilostomatida	Candidae	Canda simplex	NA	NA	NA
Gymnolaemata	Cheilostomatida	Stomachetosellidae	Trematooecia aviculifera	NA	NA	NA
Gymnolaemata	Cheilostomatida	Stomachetosellidae	Trematooecia turrita	NA	NA	NA
Gymnolaemata	Ctenostomata	Nolellidae	Nolella sp.	NA	NA	NA
Gymnolaemata	Ctenostomata	Vesiculariidae	Amanthia sp.	NA	NA	NA
Gymnolaemata	Ctenostomata	Vesiculariidae	Bowerbankia maxima	NA	155563	155563
Gymnolaemata	Ctenostomata	Vesiculariidae	Zoobotryon sp.	NA	NA	NA
Gymnolaemata	Cyclostomata	Crisiidae	Filicrisa sp.	NA	NA	NA
Gymnolaemata	Cyclostomata	Lichenoporidae	Lichenopora buskiana	NA	NA	NA
Gymnolaemata	Cyclostomata	Lichenoporidae	Lichenopora sp. 2	NA	NA	NA
Gymnolaemata	Cyclostomata	Pustuloporidae	Pustulopora danziensis	NA	NA	NA
Gymnolaemata	Cyclostomata	Tubuliporidae	Tubulipora sp.	NA	NA	NA
Ph-annelida	Polychaeta	Dinophilidae	Dinophilus sp.	NA	NA	NA
Polychaeta	Aciculata	Hesionidae	Microphthalmus sp.	NA	NA	NA
Polychaeta	Aciculata	Nerillidae	Meganerilla sp.	NA	NA	NA
Polychaeta	Aciculata	Nerillidae	Mesonerilla sp.	NA	NA	NA
Polychaeta	Aciculata	Nerillidae	Nerilla sp.	NA	NA	NA
Polychaeta	Aciculata	Nerillidae	Nerillidium sp.	NA	NA	NA
Polychaeta	Aciculata	Pisionidae	Pisione sp.	NA	NA	NA
Polychaeta	Aciculata	Pisionidae	Pisionidens sp.	NA	NA	NA
Polychaeta	Amphinomida	Amphinomidae	Chloeia sp.	NA	NA	NA
Polychaeta	Amphinomida	Amphinomidae	Eurythoe complanta	NA	NA	NA
Polychaeta	Amphinomida	Amphinomidae	Hermodice carunculata	NA	65198	65198
Polychaeta	Amphinomida	Amphinomidae	Hermodice nigrolineata	NA	NA	NA
Polychaeta	Amphinomida	Amphinomidae	Linopherus sp.	NA	NA	NA
Polychaeta	Amphinomida	Amphinomidae	Notopygos sp.	NA	NA	NA
Polychaeta	Amphinomida	Amphinomidae	Pseudeurythoe sp.	NA	NA	NA
Polychaeta	Amphinomida	Euphrosinidae	Euphrosine carunculata	NA	NA	NA
Polychaeta	Amphinomida	Euphrosinidae	Euphrosine sp.	NA	NA	NA
Polychaeta	Canalipalpata	Ctenodrildiae	Ctenodrilus sp.	NA	NA	NA
Polychaeta	Canalipalpata	Ctenodrildiae	Rhaphidrilus sp. 2	NA	NA	NA
Polychaeta	Canalipalpata	Fauveliopsidae	Fauveliopsis sp. 1	NA	NA	NA
Polychaeta	Canalipalpata	Oweniidae	Myriochele sp.	NA	NA	NA
Polychaeta	Canalipalpata	Polygordiidae	Polygordius sp.	NA	NA	NA
Polychaeta	Canalipalpata	Protodrilidae	Protodrilus cf. pupureus	NA	NA	NA
Polychaeta	Canalipalpata	Protodrilidae	Protodrilus sp.1	NA	NA	NA
Polychaeta	Canalipalpata	Saccocirridae	Saccocirrus cf. sonomacus	NA	NA	NA
Polychaeta	Canalipalpata	Saccocirridae	Saccocirrus sp.	NA	NA	NA
Polychaeta	Canalipalpata	Serpulidae	Metavermilia sp.	NA	NA	NA
Polychaeta	Canalipalpata	Serpulidae	Protula sp.	NA	NA	NA
Polychaeta	Canalipalpata	Serpulidae	Pseudovermilia fuscostriata	NA	NA	NA
Polychaeta	Canalipalpata	Serpulidae	Serpula sp. 1	NA	NA	NA
Polychaeta	Canalipalpata	Serpulidae	Spirobranchus giganteus	NA	68304	68304
Polychaeta	Canalipalpata	Serpulidae	Spirobranchus sp.	NA	NA	NA
Polychaeta	Canalipalpata	Serpulidae	Vermiliopsis â€œannulataâ€ complex	NA	NA	NA
Polychaeta	Capitellida	Capitellidae	Capitella capitata complex	NA	NA	NA
Polychaeta	Capitellida	Capitellidae	Dasybranchus sp.	NA	NA	NA
Polychaeta	Capitellida	Capitellidae	Scyphoproctus sp.	NA	NA	NA
Polychaeta	Capitellida	Maldanidae	Euclymeninae sp.	NA	NA	NA
Polychaeta	Capitellida	Maldanidae	Micromaldane sp.	NA	NA	NA
Polychaeta	Cirratulida	Cirratulidae	Chaetozone sp.	NA	NA	NA
Polychaeta	Cirratulida	Cirratulidae	Dodecaceria sp.	NA	NA	NA
Polychaeta	Cirratulida	Cirratulidae	Timarete punctata	NA	NA	NA
Polychaeta	Eunicida	Dorvilleidae	Dorvillea sp.	NA	NA	NA
Polychaeta	Eunicida	Dorvilleidae	Dorvillea sp. 1	NA	NA	NA
Polychaeta	Eunicida	Eunicidae	Eunice antennata	NA	66270	66270
Polychaeta	Eunicida	Eunicidae	Eunice antennata rubra	NA	NA	NA
Polychaeta	Eunicida	Eunicidae	Eunice aphroditois	NA	66275	66275
Polychaeta	Eunicida	Eunicidae	Eunice cariboeae	NA	NA	NA
Polychaeta	Eunicida	Eunicidae	Eunice sp.	NA	NA	NA
Polychaeta	Eunicida	Eunicidae	Eunice websteri	NA	66278	66278
Polychaeta	Eunicida	Eunicidae	Eunicidae sp.	NA	NA	NA
Polychaeta	Eunicida	Eunicidae	Lysidice sp.	NA	NA	NA
Polychaeta	Eunicida	Eunicidae	Nematonereis sp.	NA	NA	NA
Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae sp.	NA	NA	NA
Polychaeta	Eunicida	Lumbrineridae	Lumbrineris paucibranchiata	NA	NA	NA
Polychaeta	Eunicida	Lumbrineridae	Lumbrineris perkinsi	NA	NA	NA
Polychaeta	Eunicida	Oenonidae	Arabella sp.	NA	NA	NA
Polychaeta	Flabelligerida	Acrocirridae	Acrocirridae sp. 1	NA	NA	NA
Polychaeta	Flabelligerida	Acrocirridae	Acrocirridae sp. 2	NA	NA	NA
Polychaeta	Flabelligerida	Flabelligeridae	Pherusa inflata	NA	67246	67246
Polychaeta	Flabelligerida	Flabelligeridae	Piromis sp.	NA	NA	NA
Polychaeta	Opheliida	Opheliidae	Polyophthalmus pictus complex	NA	NA	NA
Polychaeta	Opheliida	Scalibregmatidae	Scalibregmatidae sp.	NA	NA	NA
Polychaeta	Orbiniida	Orbiniidae	Orbiniidae sp.	NA	NA	NA
Polychaeta	Orbiniida	Paraonidae	Paraonidae sp.	NA	NA	NA
Polychaeta	Phyllodocida	Aphroditidae	Aphrodita sp.	NA	NA	NA
Polychaeta	Phyllodocida	Aphroditidae	Pontogenia sp.	NA	NA	NA
Polychaeta	Phyllodocida	Chrysopetalidae	Bhawania sp. 1	NA	NA	NA
Polychaeta	Phyllodocida	Chrysopetalidae	Bhawania sp. 2	NA	NA	NA
Polychaeta	Phyllodocida	Chrysopetalidae	Chrysopetalidae sp.	NA	NA	NA
Polychaeta	Phyllodocida	Goniadidae	Goniada sp.	NA	NA	NA
Polychaeta	Phyllodocida	Hesionidae	Ophiodromus sp.	NA	NA	NA
Polychaeta	Phyllodocida	Nereididae	Nereid sp.	NA	NA	NA
Polychaeta	Phyllodocida	Nereididae	Nereididae sp. 1	NA	NA	NA
Polychaeta	Phyllodocida	Nereididae	Nereididae sp. 2	NA	NA	NA
Polychaeta	Phyllodocida	Nereididae	Nereis egregicirrata	NA	NA	NA
Polychaeta	Phyllodocida	Nereididae	Nereis riisei	NA	65927	65927
Polychaeta	Phyllodocida	Pholoidae	Pholoe sp.	NA	NA	NA
Polychaeta	Phyllodocida	Pholoididae	Laubierpholoe sp.	NA	NA	NA
Polychaeta	Phyllodocida	Phyllodocidae	Eulalia myriacyclum	NA	65296	65296
Polychaeta	Phyllodocida	Phyllodocidae	Mystides sp.	NA	NA	NA
Polychaeta	Phyllodocida	Phyllodocidae	Nereiphylla fragilis	NA	65336	65336
Polychaeta	Phyllodocida	Phyllodocidae	Nereiphylla sp.	NA	NA	NA
Polychaeta	Phyllodocida	Polynoidae	Arctonoe sp.	NA	NA	NA
Polychaeta	Phyllodocida	Polynoidae	Chaetacanthus magnificus	NA	NA	NA
Polychaeta	Phyllodocida	Polynoidae	Harmothoe sp.	NA	NA	NA
Polychaeta	Phyllodocida	Polynoidae	Hermenia cf. verruculosa	NA	NA	NA
Polychaeta	Phyllodocida	Polynoidae	Lepiasthenia sp.	NA	NA	NA
Polychaeta	Phyllodocida	Polynoidae	Lepidonotus spp.	NA	NA	NA
Polychaeta	Phyllodocida	Polynoidae	Malmgreniella sp.	NA	NA	NA
Polychaeta	Phyllodocida	Polynoidae	Malmgreniella variegata	NA	NA	NA
Polychaeta	Phyllodocida	Sigalionidae	? ?	NA	NA	NA
Polychaeta	Phyllodocida	Sphaerodoridae	Sphaerodoridae sp.	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Amblyosyllis sp.	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Autolytinae sp. 1	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Autolytinae sp. 2	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Autolytinae sp. 3	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Branchiosyllis exilis	NA	65849	65849
Polychaeta	Phyllodocida	Syllidae	Branchiosyllis oculata	NA	65848	65848
Polychaeta	Phyllodocida	Syllidae	Branchiosyllis sp. 1	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Branchiosyllis sp. 2	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Branchiosyllis sp. 3	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Branchiosyllis sp. 4	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Eusyllinae sp. 1	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Eusyllinae sp. 2	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Eusyllinae sp. 3	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Exogone sp.	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Haplosyllides sp.	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Haplosyllis spongicola complex	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Odontosyllis sp.	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Opistodonta sp.	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Parasphaerosyllis sp.	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Plakosyllis sp.	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Sphaerosyllis sp.	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Streptosyllis sp.	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Syllides sp.	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Syllinae sp. 1	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Syllinae sp. 2	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Syllinae sp. 3	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Syllis sp.	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Trypanosyllis sp.	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Trypanosyllis zebra complex	NA	NA	NA
Polychaeta	Phyllodocida	Syllidae	Typosyllis sp.	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Amphicorina sp. 1	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Amphicorina sp. 2	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Amphicorina sp. 3	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Anamobaea orstedii	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Anamobaea sp. 1	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Anamobaea sp. 2	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Bispira melanostigma	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Bispira sp. 1	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Bispira sp. 2	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Bispira variegata	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Branchiomma bahamense	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Branchiomma mexicana	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Branchiomma nigromaculata	NA	68213	68213
Polychaeta	Sabellida	Sabellidae	Branchiomma sp. 1	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Branchiomma sp. 2	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Branchiomma sp. 3	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Branchiomma sp. 4	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Chone georgesi	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Fabricinuda trilobata	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Fabriciola sp.	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Megalomma sp. 1	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Megalomma sp. 2	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Notaulax nudicollis	NA	999159	999159
Polychaeta	Sabellida	Sabellidae	Notaulax sp. 1	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Notaulax sp. 2	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Pseudopotamilla sp.	NA	NA	NA
Polychaeta	Sabellida	Sabellidae	Sabellastarte magnifica	NA	68201	68201
Polychaeta	Sabellida	Sabellidae	Sabellidae sp.	NA	NA	NA
Polychaeta	Spionida	Spionidae	Laonice sp.	NA	NA	NA
Polychaeta	Spionida	Spionidae	Polydorins sp.	NA	NA	NA
Polychaeta	Spionida	Spionidae	Pseudopolydora sp.	NA	NA	NA
Polychaeta	Spionida	Spionidae	Spio sp.	NA	NA	NA
Polychaeta	Terebelida	Acrocirridae	Macrochaeta sp.	NA	NA	NA
Polychaeta	Terebellida	Pectinariidae	Pectinaria sp.	NA	NA	NA
Polychaeta	Terebellida	Sabellariidae	Neosabellaria sp.	NA	NA	NA
Polychaeta	Terebellida	Terebellidae	Amphitritinae sp. 1	NA	NA	NA
Polychaeta	Terebellida	Terebellidae	Amphitritinae sp. 2	NA	NA	NA
Polychaeta	Terebellida	Terebellidae	Lanice sp. 1	NA	NA	NA
Polychaeta	Terebellida	Terebellidae	Lanice sp. 2	NA	NA	NA
Polychaeta	Terebellida	Terebellidae	Polycirrus sp.	NA	NA	NA
Polychaeta	Terebellida	Terebellidae	Streblosoma sp.	NA	NA	NA
Polychaeta	Terebellida	Terebellidae	Thelepinae sp.	NA	NA	NA
Polychaeta	Terebellida	Trichobranchidae	Terebellides sp. 1	Spaghetti worm	NA	NA
Polychaeta	Terebellida	Trichobranchidae	Terebellides sp. 2	NA	NA	NA
Phascolosomatidea	Aspidosiphoniformes	Aspidosiphonidae	Aspidosiphon elegans	NA	154816	154816
Phascolosomatidea	Aspidosiphoniformes	Aspidosiphonidae	Aspidosiphon fischeri	NA	772591	772591
Phascolosomatidea	Aspidosiphoniformes	Aspidosiphonidae	Aspidosiphon laevis	NA	154830	154830
Phascolosomatidea	Aspidosiphoniformes	Aspidosiphonidae	Aspidosiphon parvulus	NA	154807	154807
Phascolosomatidea	Aspidosiphoniformes	Aspidosiphonidae	Aspidosiphon steenstrupii	NA	772594	772594
Phascolosomatidea	Aspidosiphoniformes	Aspidosiphonidae	Lithacrosiphon cristatus	NA	154871	154871
Phascolosomatidea	Phascolosomatiformes	Phascolosomatidae	Antillesoma antillarum	NA	772615	772615
Phascolosomatidea	Phascolosomatiformes	Phascolosomatidae	Phascolosoma nigrescens	NA	154933	154947
Phascolosomatidea	Phascolosomatiformes	Phascolosomatidae	Phascolosoma perlucens	NA	154942	772947
Sipunculidea	Golfingiformes	Golfingiidae	Nephasoma pellucidum	NA	772558	772558
Sipunculidea	Golfingiiformes	Golfingiidae	Golfingia elongata	NA	154625	154625
Sipunculidea	Golfingiiformes	Phascolionidae	Phascolion gerardi	NA	772542	772542
Sipunculidea	Golfingiiformes	Themistidae	Themiste alutacea	NA	154782	154782
Bivalvia	Arcoida	Arcidae	Anadara chemnitzi	NA	79357	79357
Bivalvia	Arcoida	Arcidae	Anadara notabilis	Eared ark	79353	79353
Bivalvia	Arcoida	Arcidae	Anadara sp. 1	NA	NA	NA
Bivalvia	Arcoida	Arcidae	Anadara sp. 1	NA	NA	NA
Bivalvia	Arcoida	Arcidae	Anadara transversa	Transverse ark	79340	79340
Bivalvia	Arcoida	Arcidae	Arca domingensis	NA	NA	NA
Bivalvia	Arcoida	Arcidae	Arca imbricata	NA	79370	79370
Bivalvia	Arcoida	Arcidae	Arca sp. 1	NA	NA	NA
Bivalvia	Arcoida	Arcidae	Arca umbonata	NA	79371	79370
Bivalvia	Arcoida	Arcidae	Arca zebra	NA	79368	79368
Bivalvia	Arcoida	Arcidae	Barbatia cancellaria	Red-brown ark	79380	79380
Bivalvia	Arcoida	Arcidae	Barbatia candida	White-beard ark	79378	79378
Bivalvia	Arcoida	Arcidae	Barbatia domingensis	White miniature ark	79379	79379
Bivalvia	Arcoida	Arcidae	Barbatia sp. 1	NA	NA	NA
Bivalvia	Arcoida	Arcidae	Barbatia tenera	Delicate ark	79377	79377
Bivalvia	Arcoida	Glycymeridae	Glycymeris spectralis	Spectral bittersweet	79433	79433
Bivalvia	Arcoida	Glycymerididae	Glycymeris sp. 1	NA	NA	NA
Bivalvia	Arcoida	Glycymerididae	Tucetona sp. 1	NA	NA	NA
Bivalvia	Arcoida	Noetiidae	Arcopsis adamsi	Adams Ark	79384	79384
Bivalvia	Arcoida	Noetiidae	Noetia alssoni	NA	NA	NA
Bivalvia	Arcoida	Noetiidae	Noetia bisulcata	NA	NA	NA
Bivalvia	Arcoida	Philobryidae	Philobrya inconspicua	NA	79445	79445
Bivalvia	Limoida	Limidae	Ctenoides sp.	Â Â	NA	NA
Bivalvia	Limoida	Limidae	Lima lima	Spiny fileclam	79820	79820
Bivalvia	Limoida	Limidae	Lima scabra	Rough fileclam	79819	79819
Bivalvia	Limoida	Limidae	Lima tenera	NA	79821	79821
Bivalvia	Limoida	Limidae	Limaria pellucida	Antillean fileclam	567773	567773
Bivalvia	Limoida	Limidae	Limatula bendersoni	NA	NA	NA
Bivalvia	Myoida	Corbulidae	Carycorbula blandiana	NA	NA	NA
Bivalvia	Myoida	Corbulidae	Carycorbula disparilis	NA	NA	NA
Bivalvia	Myoida	Corbulidae	Corbula aequivalvis	NA	NA	NA
Bivalvia	Myoida	Corbulidae	Corbula sp.	NA	NA	NA
Bivalvia	Myoida	Corbulidae	Juliacorbula knoxiana	NA	NA	NA
Bivalvia	Myoida	Gastrochaeinidae	Gastrochaena ovata	Ovate gastrochaenid	81756	81756
Bivalvia	Myoida	Gastrochaenidae	Rocellaria stimpsoni	Stimpson chimney clam	NA	NA
Bivalvia	Myoida	Gatstrochaeinidae	Gastrochaena sp.	NA	NA	NA
Bivalvia	Myoida	Myacidae	Sphenia antillensis	Antillean sphenia	81705	81705
Bivalvia	Myoida	Spheniopsidae	Grippina sp.	NA	NA	NA
Bivalvia	Mytiloida	Mytilidae	Botula fusca	Cinnamon mussel	79567	79567
Bivalvia	Mytiloida	Mytilidae	Brachidontes citrinus	NA	79522	79520
Bivalvia	Mytiloida	Mytilidae	Brachidontes domingensis	Santo Domingo mussel	79523	79523
Bivalvia	Mytiloida	Mytilidae	Brachidontes exustus	Scorched Mussel	79519	79519
Bivalvia	Mytiloida	Mytilidae	Crenella divaricata	Spreading-sculpture crenella	79463	79463
Bivalvia	Mytiloida	Mytilidae	Crenella gemma	NA	NA	NA
Bivalvia	Mytiloida	Mytilidae	Dacrydium sp.	NA	NA	NA
Bivalvia	Mytiloida	Mytilidae	Gregariella opifex	NA	NA	NA
Bivalvia	Mytiloida	Mytilidae	Lithophaga sp.	NA	NA	NA
Bivalvia	Mytiloida	Mytilidae	Modiolus americanus	American horsemussel	79506	79506
Bivalvia	Mytiloida	Mytilidae	Musculus lateralis	Lateral mussel	79487	79487
Bivalvia	Nuculoida	Nuculanidae	Nuculana acuta	NA	79195	79195
Bivalvia	Nuculoida	Nuculanidae	Yoldia perprotracta	NA	NA	NA
Bivalvia	Nuculoida	Nuculidae	Nucula crenulata	Crenulate nutclam	79142	79142
Bivalvia	Nuculoida	Nuculidae	Proxima sp.	NA	NA	NA
Bivalvia	Ostreioda	Ostreidae	Dendostrea frons	Frond oyster	79902	79902
Bivalvia	Ostreioda	Ostreidae	Ostrea rhizophorae	NA	79881	79881
Bivalvia	Ostreioda	Pectinidae	Caribachlamys imbricata	Knobby scallop	567315	567315
Bivalvia	Ostreioda	Pectinidae	Caribachlamys ornata	Ornate scallop	567317	567317
Bivalvia	Ostreioda	Pectinidae	Caribachlamys sentis	Scaly scallop	567318	567318
Bivalvia	Ostreioda	Pectinidae	Cf. fasciculatum cf. fas	NA	NA	NA
Bivalvia	Ostreioda	Pectinidae	Euvola chazaliei	Dwarf zigzag scallop	NA	NA
Bivalvia	Ostreioda	Pectinidae	Euvola laurenti	NA	NA	NA
Bivalvia	Ostreioda	Pectinidae	Euvola ziczac	Zigzag scallop	567578	567578
Bivalvia	Ostreioda	Pectinidae	Leptopecten bavayi	NA	79753	79753
Bivalvia	Ostreioda	Pectinidae	Lindapecten acanthodes	NA	NA	NA
Bivalvia	Ostreioda	Pectinidae	Nodipecten fragosus	NA	NA	NA
Bivalvia	Ostreioda	Pectinidae	Nodipecten nodosus	Lion's paw scallop	79771	79771
Bivalvia	Ostreioda	Pectinidae	Pacipecten linki	NA	NA	NA
Bivalvia	Ostreioda	Pectinidae	Pectinid â€œaâ€ lineolaris	NA	NA	NA
Bivalvia	Ostreioda	Pectinidae	Pseudamussium cf. fasciculatum	NA	NA	NA
Bivalvia	Ostreioda	Pectinidae	Spathochlamys benedicti	Yellow-spot scallop	568301	568301
Bivalvia	Ostreioda	Pectinidae	Spathochlamys cf. vestalis	NA	NA	NA
Bivalvia	Ostreoida	Gryphaeidae	Hyotissa sp. 1	NA	NA	NA
Bivalvia	Ostreoida	Pectinidae	Aequipecten muscosus	Rough scallop	79708	567779
Bivalvia	Ostreoida	Pectinidae	Argopecten gibbus	Calico scallop	79734	79734
Bivalvia	Ostreoida	Pectinidae	Bractechlamys antillarum	Antillean scallop	79768	79768
Bivalvia	Ostreoida	Pectinidae	Chlamys mildredae	Mildred scallop	79637	567316
Bivalvia	Ostreoida	Pectinidae	Chlamys sentis	Scaly scallop	79631	567318
Bivalvia	Ostreoida	Pectinidae	Chlamys sp.	Â Â	NA	NA
Bivalvia	Ostreoida	Pectinidae	Laevichlamys multisquameta	NA	NA	NA
Bivalvia	Ostreoida	Plicatulidae	Plicatula gibbosa	Kitten's paw	79776	79776
Bivalvia	Ostreoida	Plicatulidae	Plicatula penicillata	NA	NA	NA
Bivalvia	Ostreoida	Spondylidae	Spondylus americanus	Atlantic thorny oyster	79779	79779
Bivalvia	Pholadomyoida	Pandoridae	Pandora sp.	NA	NA	NA
Bivalvia	Pholadomyoida	Periplomatidae	Periploma inaequivalvis	NA	NA	NA
Bivalvia	Pholadomyoida	Thraciidae	Thracia distorta	Distorted thracia	81976	81976
Bivalvia	Pholadomyoida	Thraciidae	Thracia sp.	NA	NA	NA
Bivalvia	Pholadomyoida	Verticordiidae	Verticordia ornata	Ornate verticord	82100	82100
Bivalvia	Pterioida	Isognomidae	Isognomon alatus	Flat tree oyster	79602	79602
Bivalvia	Pterioida	Isognomidae	Isognomon radiatus	Lister's tree oyster	79601	79601
Bivalvia	Pterioida	Isognomonidae	Isognomon bicolor	Bicolor purse-oyster	79603	79603
Bivalvia	Pterioida	Isognomonidae	Isognomon sp.	NA	NA	NA
Bivalvia	Pterioida	Malleidae	Malleus candeanus	Caribbean hammer-oyster	79610	79610
Bivalvia	Pterioida	Pinnidae	Atrina rigida	Stiff pen shell	79582	79582
Bivalvia	Pterioida	Pinnidae	Pinna carnea	Amber pen shell	79586	79586
Bivalvia	Pterioida	Pteriidae	Pinctada imbricata	Atlantic pearl oyster	79593	79593
Bivalvia	Pterioida	Pteriidae	Pinctata radiata	Pearl oyster	NA	NA
Bivalvia	Pterioida	Pteriidae	Pteria colymbus	Atlantic winged oyster	79595	79595
Bivalvia	Pteriomorpha	Anomiidae	Anomia simplex	Jingle shell	79798	79798
Bivalvia	Septibranchida	Cuspidariidae	Cuspisdaria sp.	NA	NA	NA
Bivalvia	Veneroida	Cardiidae	Americardia media	Atlantic strawberry-cockle	80920	80920
Bivalvia	Veneroida	Cardiidae	Laevicardium laevigatum	Egg cockle	80892	80892
Bivalvia	Veneroida	Cardiidae	Laevicardium mortoni	Yellow eggcockle	80891	80891
Bivalvia	Veneroida	Cardiidae	Laevicardium sp.	Â Â	NA	NA
Bivalvia	Veneroida	Cardiidae	Laevicardium sp. 1	NA	NA	NA
Bivalvia	Veneroida	Cardiidae	Papyridea semisulcatum	NA	NA	NA
Bivalvia	Veneroida	Cardiidae	Papyridea soleniforme	NA	NA	NA
Bivalvia	Veneroida	Cardiidae	Trachycardium muricatum	Yellow cockle	80907	80907
Bivalvia	Veneroida	Cardiidae	Trachycardium sp. 1	NA	NA	NA
Bivalvia	Veneroida	Cardiidae	Trigoniocardia antillarum	Antillean cockle	80934	80934
Bivalvia	Veneroida	Cardiidae	Trigoniocardia laevicardium	NA	NA	NA
Bivalvia	Veneroida	Carditidae	Carditamera gracilis	West indian cardita	80782	80782
Bivalvia	Veneroida	Carditidae	Cardites sp. 1	NA	NA	NA
Bivalvia	Veneroida	Carditidae	Pleuromeris micella	NA	NA	NA
Bivalvia	Veneroida	Chamidae	Chama congregata	Corrugate jewelbox	81652	81652
Bivalvia	Veneroida	Chamidae	Chama florida	Pretty jewelbox	81657	81657
Bivalvia	Veneroida	Chamidae	Chama macerophylla	Leafy jewelbox	81651	81651
Bivalvia	Veneroida	Chamidae	Pseudochama radians	Atlantic jewelbox	81675	81675
Bivalvia	Veneroida	Condylocardiidae	Carditopsis bernardi	NA	80792	80792
