Class	Order	Family	genspec	Common Name	tsn	accepted_tsn
Demospongiae	Halichondrida	Halichondriidae	Halichondria magniconulosa	NA	NA	NA
Demospongiae	Halichondrida	Halichondriidae	Hymeniacidon caerulea	NA	NA	NA
Demospongiae	Halichondrida	Halichondriidae	Petromica ciocalyptoides	NA	NA	NA
Demospongiae	Halichondrida	Heteroxyidae	Myrmekioderma gyroderma	NA	NA	NA
Demospongiae	Halichondriida	Halichondriidae	Halichondria melanodocia	NA	NA	NA
Demospongiae	Halisarcida	Halisarcidae	Halisarca caerulea	NA	NA	NA
Demospongiae	Halisarcida	Halisarcidae	Halisarca sp.	NA	NA	NA
Demospongiae	Haplosclerida	Callyspongiidae	Callyspongia armigera	NA	NA	NA
Demospongiae	Haplosclerida	Callyspongiidae	Callyspongia fallax	NA	47859	47859
Demospongiae	Haplosclerida	Callyspongiidae	Callyspongia pallida	NA	NA	NA
Demospongiae	Haplosclerida	Callyspongiidae	Callyspongia sp.	NA	NA	NA
Demospongiae	Haplosclerida	Callyspongiidae	Callyspongia vaginalis	Branching vase sponge	47858	47858
Demospongiae	Haplosclerida	Chalinidae	Chalinula molitba	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Chalinula zeae	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona (Halichoclona) hogarthi	Lavender or Purple Finger Sponge	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona albifragilis	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona caerulea	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona curacaoensis	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona implexiformis	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona magnifica	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona manglaris	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona megasclera	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona melana	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona mucifibrosa	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona piscaderaensis	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona sp. 1	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona sp. 2	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona tubifera	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona twincayensis	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona vansoesti	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona vermeuleni	NA	NA	NA
Demospongiae	Haplosclerida	Chalinidae	Haliclona walentinae	NA	NA	NA
Demospongiae	Haplosclerida	Haliclonidae	Xestospongia bocatorensis	NA	NA	NA
Demospongiae	Haplosclerida	Haliclonidae	Xestospongia n. muta	Giant barrel sponge	NA	NA
Demospongiae	Haplosclerida	Haliclonidae	Xestospongia n. rosariensis	NA	NA	NA
Demospongiae	Haplosclerida	Haliclonidae	Xestospongia n. s.p 1	NA	NA	NA
Demospongiae	Haplosclerida	Haliclonidae	Xestospongia proxima	NA	NA	NA
Demospongiae	Haplosclerida	Niphatidae	Amphimedon complanata	NA	NA	NA
Demospongiae	Haplosclerida	Niphatidae	Amphimedon compressa	Erect rope sponge	47783	47782
Demospongiae	Haplosclerida	Niphatidae	Amphimedon erina	NA	NA	NA
Demospongiae	Haplosclerida	Niphatidae	Amphimedon viridis	NA	NA	NA
Demospongiae	Haplosclerida	Niphatidae	Cribrochalina vasculum	NA	47799	47799
Demospongiae	Haplosclerida	Niphatidae	Niphates amorpha	NA	NA	NA
Demospongiae	Haplosclerida	Niphatidae	Niphates blue	NA	NA	NA
Demospongiae	Haplosclerida	Niphatidae	Niphates caycedoi	NA	NA	NA
Demospongiae	Haplosclerida	Niphatidae	Niphates erecta	Lavender rope sponge	48021	48021
Demospongiae	Haplosclerida	Niphatidae	Niphates ramosa	NA	NA	NA
Demospongiae	Haplosclerida	Niphatidae	Niphates sp.	NA	NA	NA
Demospongiae	Haplosclerida	Petrosiidae	Neopetrosia carbonaria	NA	NA	NA
Demospongiae	Haplosclerida	Petrosiidae	Neopetrosia subtriangularis	Spawling sponge	NA	NA
Demospongiae	Haplosclerida	Petrosiidae	Petrosia pellasarca	NA	NA	NA
Demospongiae	Haplosclerida	Petrosiidae	Petrosia sp.	NA	NA	NA
Demospongiae	Haplosclerida	Petrosiidae	Petrosia weinbergi	NA	NA	NA
Demospongiae	Haplosclerida	Phloeodictyidae	Aka cf. brevitubulata	NA	NA	NA
Demospongiae	Haplosclerida	Phloeodictyidae	Aka coralliphaga	NA	NA	NA
Demospongiae	Haplosclerida	Phloeodictyidae	Calyx podatypa	NA	NA	NA
Demospongiae	Haplosclerida	Phloeodictyidae	Oceanapia bartschi	NA	NA	NA
Demospongiae	Haplosclerida	Phloeodictyidae	Oceanapia nodosa	NA	NA	NA
Demospongiae	Haplosclerida	Phloeodictyidae	Oceanapia oleracea	NA	NA	NA
Demospongiae	Haplosclerida	Phloeodictyidae	Oceanapia peltata	NA	NA	NA
Demospongiae	Homoscleromorpha	Plakinidae	Plakinastrella onkodes	NA	NA	NA
Demospongiae	Homosclerophorida	Plakinidae	Oscarella sp.	NA	NA	NA
Demospongiae	Homosclerophorida	Plakinidae	Plakortis angulospiculatus	NA	NA	NA
Demospongiae	Homosclerophorida	Plakinidae	Plakortis halichondroides	NA	NA	NA
Demospongiae	Homosclerophorida	Plakinidae	Plakortis simplex species complex	NA	NA	NA
Demospongiae	Leucosolenida	Grantiidae	Leucandra aspera	NA	NA	NA
Demospongiae	Lithistida	Theonellidae	Discodermia dissoluta	NA	48648	48648
Demospongiae	Poecilosclerida	Acarnidae	Acarnus nicoleae	NA	NA	NA
Demospongiae	Poecilosclerida	Acarnidae	Acarnus souriei	NA	NA	NA
Demospongiae	Poecilosclerida	Coelosphaeridae	Lissodendoryx colombiensis	NA	NA	NA
Demospongiae	Poecilosclerida	Coelosphaeridae	Lissodendoryx isodictyalis	NA	48076	48076
Demospongiae	Poecilosclerida	Coelosphaeridae	Lissodendoryx sp.	NA	NA	NA
Demospongiae	Poecilosclerida	Crambeidae	Monanchora arbuscula	NA	NA	NA
Demospongiae	Poecilosclerida	Crambeidae	Monanchora unguifera	Fine Lumpy Sponge	NA	NA
Demospongiae	Poecilosclerida	Desmacellidae	Biemna caribea	NA	NA	NA
Demospongiae	Poecilosclerida	Desmacellidae	Biemna sp.	NA	NA	NA
Demospongiae	Poecilosclerida	Desmacellidae	Biemna tubulata	NA	NA	NA
Demospongiae	Poecilosclerida	Desmacellidae	Neofibularia nolitangere	NA	48255	48255
Demospongiae	Poecilosclerida	Desmacididae	Desmapsamma anchorata	NA	NA	NA
Demospongiae	Poecilosclerida	Iotrochotidae	Iotrochota birotulata	Green finger sponge	NA	NA
Demospongiae	Poecilosclerida	Iotrochotidae	Iotrochota sp.	NA	NA	NA
Demospongiae	Poecilosclerida	Merliidae	Merlia normani	NA	NA	NA
Demospongiae	Poecilosclerida	Microcionidae	Artemisina melana	NA	NA	NA
Demospongiae	Poecilosclerida	Microcionidae	Clathria (Thalysias) aspera	NA	NA	NA
Demospongiae	Poecilosclerida	Microcionidae	Clathria echinata	NA	NA	NA
Demospongiae	Poecilosclerida	Microcionidae	Clathria ferrea	NA	NA	NA
Demospongiae	Poecilosclerida	Microcionidae	Clathria microchela	NA	NA	NA
Demospongiae	Poecilosclerida	Microcionidae	Clathria schoenus	NA	NA	NA
Demospongiae	Poecilosclerida	Microcionidae	Clathria venosa	NA	NA	NA
Demospongiae	Poecilosclerida	Microcionidae	Pandaros acanthifolium	NA	48024	48024
Demospongiae	Poecilosclerida	Microcioninae	Raphidophlus sp.	NA	NA	NA
Demospongiae	Poecilosclerida	Mycalidae	Mycale (Naviculina) cf. arndti	NA	NA	NA
Demospongiae	Poecilosclerida	Mycalidae	Mycale (Naviculina) cf. laevis	Orange icing sponge	NA	NA
Demospongiae	Poecilosclerida	Mycalidae	Mycale (Naviculina) cf. laxissima	Strawberry vase sponge	NA	NA
Demospongiae	Poecilosclerida	Mycalidae	Mycale angulosa	NA	48219	48219
Demospongiae	Poecilosclerida	Mycalidae	Mycale arenaria	NA	NA	NA
Demospongiae	Poecilosclerida	Mycalidae	Mycale carmigropila	NA	NA	NA
Demospongiae	Poecilosclerida	Mycalidae	Mycale cf. americana	NA	NA	NA
Demospongiae	Poecilosclerida	Mycalidae	Mycale cf. diversisigmata	NA	NA	NA
Demospongiae	Poecilosclerida	Mycalidae	Mycale citrina	NA	NA	NA
Demospongiae	Poecilosclerida	Mycalidae	Mycale magnirhaphidifera	NA	NA	NA
Demospongiae	Poecilosclerida	Mycalidae	Mycale microsigmatosa	NA	NA	NA
Demospongiae	Poecilosclerida	Mycalidae	Mycale sp. a	NA	NA	NA
Demospongiae	Poecilosclerida	Mycalidae	Mycale sp. b	NA	NA	NA
